Name;Completed;Total;Score;Completed Bonus
Chamgadad;11;11;2909;No
99 A MAN;11;11;2791;No
S O F l A;11;11;2441;No
IamAURA;11;11;2361;No
Felipe8;11;11;2331;No
JustLau;11;11;2322;No
FedEx2021;11;11;2291;No
MenteMaestra;11;11;2265;No
QueenDramaa;11;11;2258;No
Sargento;11;11;2239;No
NASHA MUERTE;11;11;2236;No
arka001;11;11;2230;No
Takki85;11;11;2226;No
RoyFocker01;11;11;2217;No
Sargentoooo;11;11;2211;No
El Dorado;11;11;2211;No
Miss Lake;11;11;2210;No
Matias8;11;11;2196;No
Campanula13;11;11;2196;No
Sr Barrigon;11;11;2151;No
RAIBACK;11;11;2124;No
el rey montc;11;11;2109;No
HUERTA IV;11;11;2106;No
Jedimester;11;11;2102;No
FANTA UVA;11;11;2095;No
Ninja Soul;11;11;2076;No
xWalkerS05x;11;11;2074;No
xWalkerW08x;11;11;2057;No
Navi Neytiri;10;11;2053;No
XxMGSxX;11;11;2046;No
xWalkerW06x;11;11;2033;No
xWalkerS01x;11;11;2032;No
Ashnyk;11;11;2025;No
ryckzolea;11;11;2024;No
Coloso xv;11;11;2022;No
Darkgreen;11;11;2021;No
Soy Sami;11;11;2009;No
Natanael 03;11;11;2008;No
Michis95;11;11;1995;No
MUERT3 DULC3;11;11;1973;No
ooVaS001oo;11;11;1968;No
Fernando1984;11;11;1953;No
ooVaS003oo;11;11;1952;No
giackrox;11;11;1950;No
Dkno25;9;11;1949;No
Chin Dafnn;11;11;1947;No
Dark Mundo;11;11;1942;No
XAkelarreX;11;11;1932;No
xWalkerS02x;11;11;1929;No
Fifi fifone;11;11;1928;No
Johan0311;11;11;1923;No
MENDoZITA;11;11;1920;No
ooVaS008oo;11;11;1918;No
0RickHunter0;10;11;1918;No
xWalkerS04x;11;11;1913;No
xWalkerW09x;11;11;1910;No
xWalkerW07x;11;11;1905;No
Analuu;11;11;1899;No
ooVaS010oo;11;11;1898;No
ooVaS009oo;11;11;1895;No
ooVaS002oo;11;11;1895;No
ooVaS004oo;11;11;1895;No
illidain;11;11;1894;No
xWalkerS03x;11;11;1886;No
xWalkerW10x;11;11;1875;No
ooVaS007oo;11;11;1875;No
ooVaS006oo;11;11;1864;No
KB Ares I;11;11;1837;No
ooVaS005oo;11;11;1836;No
HUERTA III;11;11;1836;No
JUANPE;11;11;1810;No
Juan 7777777;11;11;1810;No
HUERTA M UR;11;11;1800;No
Huerta V;11;11;1788;No
MalcriadittA;10;10;1782;No
Jeska33;10;11;1744;No
cyntu;10;11;1702;No
TheLaPlanta;9;11;1618;No
leonaferoz;9;11;1487;No
lBerrinchesl;0;4;0;No
