IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1802398262;Huerta V;RANK2;92042341;92042341;0;120409;120409;0;
1656236148;HUERTA IV;RANK2;306028314;305575562;452752;3479309;3479309;0;
1332726248;Sakuron;RANK1;907167468;907167468;0;7970379;7970379;0;
1328976539;sakurito;RANK2;1533978541;1457459715;76518826;67866717;67866717;0;
1319872559;FANTA UVA;RANK1;843863712;835683032;8180680;19426832;19426832;0;
1271365281;xWalkerS04x;RANK2;673400394;673394694;5700;7354;7354;0;
1271365250;xWalkerS05x;RANK2;673967864;673930164;37700;18764;18764;0;
1271365142;xWalkerS03x;RANK2;673410279;673404579;5700;22966;22966;0;
1271365117;xWalkerS02x;RANK2;673411710;673406010;5700;6455;6455;0;
1271365113;xWalkerS01x;RANK2;673542813;673533113;9700;8914;8914;0;
1218827033;Chamgadad;RANK2;738828433;728970433;9858000;7717002;7717002;0;
1214959089;Sargentoooo;RANK2;889795177;889795177;0;3607054;3607054;0;
1209167800;Sargento;RANK2;753593228;753518380;74848;27828638;27828638;0;
1208113955;HUERTA III;RANK2;828130404;828130404;0;86343186;86343186;0;
1106191183;xLIBRAxo;RANK1;636437392;636345066;92326;44575117;44575117;0;
928523397;KB Ares I;RANK3;478611964;478611964;0;1713779;1713779;0;
853535332;Raiinha3;RANK4;2018409432;2016893418;1516014;332903326;332903326;0;
747751737;cyntu;RANK4;1740751188;1740721161;30027;130034723;130034723;0;
735770009;Johan0311;RANK2;1548821297;1547689870;1131427;44090466;44090466;0;
728008821;MalcriadittA;RANK4;1059015681;1056387451;2628230;49504157;49504157;0;
727539438;Dkno25;RANK2;1023774325;1023774325;0;107040010;107040010;0;
701803552;QueenDramaa;RANK4;1501448490;1501448490;0;59073412;59073412;0;
699616405;ooVaS010oo;RANK1;2085256933;2085255333;1600;3112866;3112866;0;
699615914;ooVaS007oo;RANK1;2093023036;2093021436;1600;5537740;5537740;0;
699615845;ooVaS009oo;RANK1;2111321403;2111319803;1600;6176798;6176798;0;
699615715;ooVaS008oo;RANK1;2095430373;2095428773;1600;8688152;8688152;0;
699615662;ooVaS006oo;RANK1;2103843796;2103842196;1600;5106014;5106014;0;
699600536;ooVaS003oo;RANK1;2086860415;2086858815;1600;24804463;24804463;0;
699600401;ooVaS002oo;RANK1;2081405927;2081404327;1600;5410000;5410000;0;
699600237;ooVaS005oo;RANK1;2080457709;2080456109;1600;17728169;17728169;0;
699600230;ooVaS004oo;RANK1;2111649824;2111570284;79540;17556422;17556422;0;
699590989;ooVaS001oo;RANK1;2107050210;2106968786;81424;29491862;29491862;0;
687037882;El Dorado;RANK4;650358571;650350651;7920;1413736;1413736;0;
686099078;Darkgreen;RANK4;979149041;979171255;-22214;53165408;53165408;0;
681257144;JUANPE;RANK3;2120319589;2120215589;104000;67788830;67788830;0;
672088260;Dark Mundo;RANK4;1675604536;1675535498;69038;234640230;234640230;0;
665549405;giackrox;RANK2;1666863251;1666863251;0;228569532;228569532;0;
658113211;Michis95;RANK2;1116101865;1111313706;4788159;62933229;62933229;0;
653763973;Fifi fifone;RANK4;1778321186;1773508243;4812943;262744660;262744660;0;
649378702;Jhoni1;RANK2;757159305;756459860;699445;19197273;19197273;0;
646441942;el rey montc;RANK2;1922982431;1923040031;-57600;173822438;173822438;0;
646349957;XxMGSxX;RANK2;1837017723;1836399610;618113;78088205;78088205;0;
645515706;Analuu;RANK3;1447262486;1446722486;540000;37357195;37357195;0;
631695724;Jedimester;RANK2;879852695;879851095;1600;1294341;1294341;0;
618124236;illidain;RANK3;1476524742;1476394222;130520;126371684;126371684;0;
590822297;ASTERIS7;RANK3;659735071;659737999;-2928;523759;523759;0;
579115818;Felipe8;RANK4;912034147;911856547;177600;4473940;4473940;0;
576773217;99 A MAN;RANK3;3432185108;3432185108;0;419856063;419856063;0;
573727599;Jeska33;RANK2;1328774633;1323470969;5303664;221652072;221642905;9167;
571068185;Iriszz;RANK1;605045063;586868742;18176321;17380893;17380893;0;
562040476;0RickHunter0;RANK4;280669102;280451070;218032;7104225;7104225;0;
556628743;Soy Sami;RANK2;614547515;823170471;-208622956;15958403;14936313;1022090;
548470975;Navi Neytiri;RANK4;1306777831;1306422831;355000;8602572;8602572;0;
545102236;Ninja Soul;RANK2;241883763;241883763;0;1385403;1385403;0;
543574138;RoyFocker01;RANK5;2166168614;2165469962;698652;473909495;473909495;0;
543536478;Juan 7777777;RANK4;1628952131;1628455687;496444;839604906;839604906;0;
543013733;Fernando1984;RANK3;2068307622;2068151414;156208;589054052;589054052;0;
539752687;XAkelarreX;RANK2;825091745;825091745;0;198684901;198684901;0;
531603934;JustLau;RANK4;1433037867;1432551602;486265;32046708;32046708;0;
527850333;FedEx2021;RANK4;1983507483;1983351483;156000;327196932;327196932;0;
527571135;Matias8;RANK4;2276259888;2275966720;293168;1041470471;1041470471;0;
522130170;Campanula13;RANK4;1671751483;1672050943;-299460;159280772;159280772;0;
505302369;Liiiin;RANK3;3038629044;3038629044;0;476246944;476246944;0;
469048815;Ashnyk;RANK4;1280717838;1275492499;5225339;37462837;37462837;0;
446564417;Takki85;RANK2;867473119;867473119;0;10834133;10834133;0;
436023142;Miss Lake;RANK4;1913450243;1913357809;92434;652188570;652160405;28165;
431325262;MenteMaestra;RANK4;1426061983;1425872755;189228;36676784;36676784;0;
429983700;HUERTA M UR;RANK1;897200026;897194026;6000;17628040;17628040;0;
429963525;RAIBACK;RANK2;1061101855;1061008966;92889;33113244;33113244;0;
418916566;S O F l A;RANK3;1425003480;1415464344;9539136;39338469;39338469;0;
410376152;ryckzolea;RANK2;1115202692;1115193566;9126;4571745;4571745;0;
397325214;Sr Barrigon;RANK4;820108001;820073441;34560;15423006;15423006;0;
361152256;HeAnnn;RANK1;2693398044;2692643712;754332;142423158;142423158;0;
340479367;lBerrinchesl;RANK4;490329347;490005347;324000;52542191;52542191;0;
335059435;MENDoZITA;RANK2;652448591;652437431;11160;7754219;7754219;0;
334641435;NASHA MUERTE;RANK4;1497929009;1497665317;263692;288795631;288795631;0;
