User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;669;669;0;;0;583;85;1;0;;0;0;0;0;0;;0;0%;;0;0%;;2025/07/04 06:00:00;2025/08/04 06:00:00
527571135;Matias8;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/08/04 04:04:01;2025/08/04 04:06:21
562040476;0RickHunter0;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/07/04 23:34:16;2025/07/04 23:40:01
469048815;Ashnyk;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/07/04 12:43:23;2025/08/04 03:43:13
522130170;Campanula13;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/07/04 08:11:11;2025/07/04 22:50:15
747751737;cyntu;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/04 17:50:23;2025/07/04 22:15:24
436361778;Dariiooo;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/04 14:08:07;2025/07/04 14:12:38
672088260;Dark Mundo;4;4;0;;0;0;4;0;0;;0;0;0;0;0;;12;240%;;0;0%;;2025/07/04 08:41:54;2025/07/04 21:38:19
686099078;Darkgreen;4;4;0;;0;0;4;0;0;;0;0;0;0;0;;12;240%;;0;0%;;2025/07/04 15:38:18;2025/07/04 23:12:00
687037882;El Dorado;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/04 08:21:29;2025/08/04 02:15:48
527850333;FedEx2021;9;9;0;;0;9;0;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/07/04 08:54:31;2025/08/04 04:50:01
579115818;Felipe8;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/07/04 11:09:09;2025/08/04 02:11:25
653763973;Fifi fifone;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/04 12:26:41;2025/07/04 22:33:09
665549405;giackrox;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
543536478;Juan 7777777;5;5;0;;0;2;3;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/07/04 09:13:05;2025/07/04 17:36:10
531603934;JustLau;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/07/04 08:56:34;2025/08/04 05:42:54
340479367;lBerrinchesl;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/07/04 08:43:48;2025/08/04 01:04:12
431325262;MenteMaestra;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/07/04 09:01:15;2025/08/04 04:34:27
436023142;Miss Lake;9;9;0;;0;9;0;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/07/04 07:19:40;2025/08/04 04:31:25
548470975;Navi Neytiri;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/07/04 07:02:09;2025/08/04 05:49:22
701803552;QueenDramaa;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/07/04 13:10:40;2025/08/04 01:11:43
543574138;RoyFocker01;3;3;0;;0;1;2;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/07/04 13:23:11;2025/08/04 01:38:14
397325214;Sr Barrigon;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/07/04 06:25:35;2025/08/04 04:58:14
576773217;99 A MAN;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
645515706;Analuu;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
973256396;Bespin 01;10;10;0;;0;10;0;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/07/04 22:58:05;2025/08/04 05:21:26
618124236;illidain;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/04 16:44:31;2025/07/04 23:43:02
928523397;KB Ares I;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;1;20%;;0;0%;;2025/08/04 01:12:52;2025/08/04 01:12:52
728008821;MalcriadittA;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/07/04 10:38:50;2025/07/04 23:41:29
545102236;Ninja Soul;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;1;20%;;0;0%;;2025/07/04 20:47:03;2025/07/04 20:47:03
418916566;S O F l A;4;4;0;;0;2;2;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/07/04 08:52:16;2025/07/04 21:20:28
1328976539;sakurito;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/07/04 21:27:24;2025/07/04 21:27:24
766707663;TheLaPlanta;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
783188571;ALAN BOT;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/07/04 22:26:05;2025/08/04 02:06:32
1092693154;Ariel1588;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/08/04 03:32:23;2025/08/04 03:39:03
590822297;ASTERIS7;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/04 07:18:46;2025/07/04 17:51:25
638291226;BLACKGHOST;7;7;0;;0;6;1;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/07/04 16:18:08;2025/07/04 23:50:16
410194825;ByDarkDays;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/07/04 19:00:15;2025/08/04 01:46:17
727539438;Dkno25;7;7;0;;0;6;1;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/07/04 21:11:48;2025/08/04 02:36:44
649145941;DOMINIC E77;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/04 17:41:48;2025/08/04 03:34:07
646441942;el rey montc;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/08/04 01:14:30;2025/08/04 01:19:58
329944274;Espartajesus;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/07/04 07:09:42;2025/07/04 07:09:42
543013733;Fernando1984;2;2;0;;0;0;1;1;0;;0;0;0;0;0;;12;240%;;0;0%;;2025/07/04 08:55:33;2025/07/04 17:43:09
1059350230;Fujin Heros;2;2;0;;0;1;1;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/07/04 15:48:33;2025/07/04 15:49:13
631695724;Jedimester;12;12;0;;0;11;1;0;0;;0;0;0;0;0;;14;280%;;0;0%;;2025/07/04 15:50:24;2025/08/04 04:28:17
735770009;Johan0311;9;9;0;;0;8;1;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/07/04 12:49:35;2025/08/04 05:57:26
517552301;Kuuuushhhh;6;6;0;;0;4;2;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/07/04 14:11:53;2025/08/04 03:51:08
505302369;Liiiin;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;40%;;0;0%;;2025/07/04 10:17:25;2025/07/04 10:18:46
430669190;Malzar;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/08/04 01:09:57;2025/08/04 01:09:57
634411493;MarkusE77;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/08/04 03:46:02;2025/08/04 04:04:22
1021127073;Nnahhh;2;2;0;;0;0;2;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/04 10:42:09;2025/08/04 03:49:21
424919012;Ocean BlueX;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/07/04 18:33:10;2025/08/04 01:51:29
699590989;ooVaS001oo;24;24;0;;0;20;4;0;0;;0;0;0;0;0;;32;640%;;0;0%;;2025/07/04 16:22:02;2025/08/04 04:26:19
699600401;ooVaS002oo;22;22;0;;0;19;3;0;0;;0;0;0;0;0;;28;560%;;0;0%;;2025/07/04 16:25:03;2025/08/04 04:18:01
699600536;ooVaS003oo;23;23;0;;0;20;3;0;0;;0;0;0;0;0;;29;580%;;0;0%;;2025/07/04 16:24:44;2025/08/04 04:25:18
699600230;ooVaS004oo;23;23;0;;0;19;4;0;0;;0;0;0;0;0;;31;620%;;0;0%;;2025/07/04 16:24:38;2025/08/04 04:17:50
699600237;ooVaS005oo;23;23;0;;0;19;4;0;0;;0;0;0;0;0;;31;620%;;0;0%;;2025/07/04 15:50:54;2025/08/04 04:17:01
699615662;ooVaS006oo;22;22;0;;0;19;3;0;0;;0;0;0;0;0;;28;560%;;0;0%;;2025/07/04 16:25:02;2025/08/04 04:17:53
699615914;ooVaS007oo;22;22;0;;0;19;3;0;0;;0;0;0;0;0;;28;560%;;0;0%;;2025/07/04 16:25:40;2025/08/04 04:17:29
699615715;ooVaS008oo;22;22;0;;0;19;3;0;0;;0;0;0;0;0;;28;560%;;0;0%;;2025/07/04 16:25:29;2025/08/04 04:17:32
699615845;ooVaS009oo;22;22;0;;0;19;3;0;0;;0;0;0;0;0;;28;560%;;0;0%;;2025/07/04 16:25:05;2025/08/04 04:16:43
699616405;ooVaS010oo;22;22;0;;0;19;3;0;0;;0;0;0;0;0;;28;560%;;0;0%;;2025/07/04 16:25:09;2025/08/04 04:17:30
1254769416;P i c a r d;3;3;0;;0;1;2;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/07/04 10:37:13;2025/08/04 04:32:25
429963525;RAIBACK;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/07/04 14:38:29;2025/08/04 02:51:11
410376152;ryckzolea;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/07/04 15:48:36;2025/07/04 15:51:20
1345757571;S  R  K;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/07/04 10:09:07;2025/07/04 10:09:07
556628743;Soy Sami;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/07/04 11:21:40;2025/07/04 11:29:58
447590111;Thunderekmek;4;4;0;;0;2;2;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/07/04 18:19:58;2025/08/04 01:40:10
641610850;WUILSON15;2;2;0;;0;1;1;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/07/04 11:26:21;2025/08/04 01:01:24
1041730165;XINHXA;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/07/04 15:54:36;2025/07/04 15:54:36
1271365113;xWalkerS01x;15;15;0;;0;14;1;0;0;;0;0;0;0;0;;17;340%;;0;0%;;2025/07/04 16:22:36;2025/08/04 04:02:14
1271365117;xWalkerS02x;14;14;0;;0;13;1;0;0;;0;0;0;0;0;;16;320%;;0;0%;;2025/07/04 16:24:40;2025/08/04 04:16:25
1271365142;xWalkerS03x;15;15;0;;0;14;1;0;0;;0;0;0;0;0;;17;340%;;0;0%;;2025/07/04 16:23:12;2025/08/04 04:01:23
1271365281;xWalkerS04x;15;15;0;;0;14;1;0;0;;0;0;0;0;0;;17;340%;;0;0%;;2025/07/04 16:24:41;2025/08/04 04:17:00
1271365250;xWalkerS05x;14;14;0;;0;13;1;0;0;;0;0;0;0;0;;16;320%;;0;0%;;2025/07/04 16:22:32;2025/08/04 03:09:47
1271388715;xWalkerW06x;14;14;0;;0;13;1;0;0;;0;0;0;0;0;;16;320%;;0;0%;;2025/07/04 16:24:47;2025/08/04 04:16:06
1271388743;xWalkerW07x;14;14;0;;0;13;1;0;0;;0;0;0;0;0;;16;320%;;0;0%;;2025/07/04 16:22:56;2025/08/04 03:10:44
1271388783;xWalkerW08x;15;15;0;;0;14;1;0;0;;0;0;0;0;0;;17;340%;;0;0%;;2025/07/04 16:24:35;2025/08/04 04:17:10
1271389449;xWalkerW09x;14;14;0;;0;13;1;0;0;;0;0;0;0;0;;16;320%;;0;0%;;2025/07/04 16:22:55;2025/08/04 04:21:43
1271389452;xWalkerW10x;16;16;0;;0;15;1;0;0;;0;0;0;0;0;;18;360%;;0;0%;;2025/07/04 16:24:45;2025/08/04 04:16:03
646349957;XxMGSxX;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/04 18:30:43;2025/07/04 22:07:32
382123478;Ehma;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/07/04 18:42:32;2025/08/04 01:35:07
