Name;Completed;Total;Score;Completed Bonus
RoyFocker01;11;11;2738;Yes
Dark Mundo;11;11;2697;Yes
Matias8;10;11;2617;Yes
Miss Lake;11;11;2607;Yes
Felipe8;11;11;2603;Yes
FedEx2021;11;11;2595;Yes
QueenDramaa;11;11;2586;Yes
Campanula13;11;11;2586;Yes
El Dorado;11;11;2567;Yes
JustLau;11;11;2543;Yes
MenteMaestra;11;11;2497;Yes
Sr Barrigon;11;11;2490;Yes
BLACKGHOST;10;11;2466;Yes
Dkno25;11;11;2460;No
lBerrinchesl;11;11;2389;No
MalcriadittA;11;11;2380;Yes
Fifi fifone;10;11;2371;Yes
xWalkerS05x;11;11;2364;Yes
ooVaS008oo;11;11;2354;Yes
ooVaS007oo;11;11;2350;Yes
ooVaS002oo;11;11;2350;Yes
Ashnyk;10;11;2338;Yes
xWalkerS03x;11;11;2333;Yes
S  R  K;11;11;2317;Yes
Navi Neytiri;11;11;2317;No
ooVaS004oo;11;11;2316;Yes
Jedimester;11;11;2314;No
ooVaS010oo;11;11;2297;Yes
Espartajesus;11;11;2288;Yes
ooVaS009oo;11;11;2278;Yes
Analuu;11;11;2278;Yes
xWalkerS02x;11;11;2276;Yes
xWalkerW06x;11;11;2272;Yes
Fernando1984;11;11;2267;Yes
xWalkerS04x;11;11;2261;Yes
XD SULTAN 1;11;11;2261;Yes
Ninja Soul;11;11;2256;Yes
xWalkerW08x;11;11;2255;Yes
xWalkerW10x;11;11;2246;Yes
ByDarkDays;11;11;2239;Yes
xWalkerW07x;11;11;2224;Yes
ooVaS005oo;10;11;2224;Yes
Soy Sami;11;11;2197;Yes
XxMGSxX;11;11;2192;Yes
0RickHunter0;10;11;2189;No
Johan0311;11;11;2181;Yes
99 A MAN;10;11;2175;No
Ehma;11;11;2159;Yes
XINHXA;11;11;2144;Yes
RAIBACK;11;11;2142;No
Thunderekmek;11;11;2139;Yes
xWalkerS01x;11;11;2134;No
Sakuron;11;11;2132;Yes
Ocean BlueX;11;11;2118;Yes
Malzar;10;11;2106;No
Chin Dafnn;10;10;2100;Yes
valigolo02;11;11;2099;Yes
ooVaS003oo;11;11;2094;No
sakurito;10;10;2086;Yes
Darkgreen;10;11;2077;Yes
xWalkerW09x;11;11;2072;No
ooVaS001oo;10;11;2072;Yes
ooVaS006oo;11;11;2067;No
Lone WoIf;11;11;2041;Yes
ALAN BOT;10;11;2028;Yes
el rey montc;10;11;2021;No
Dariiooo;10;11;2019;No
KB Ares I;10;11;2013;No
giackrox;10;11;2010;No
Liiiin;11;11;2005;No
P i c a r d;11;11;1997;Yes
S O F l A;11;11;1996;No
Ptolemy I;11;11;1994;No
cyntu;11;11;1992;No
ABU Mayan 1;9;11;1986;Yes
MarkusE77;11;11;1986;No
illidain;11;11;1979;Yes
DOMINIC E77;10;11;1978;No
Juan 7777777;11;11;1973;No
Kuuuushhhh;11;11;1973;Yes
ASTERIS7;11;11;1968;No
NahAmunSiwa;11;11;1954;Yes
XD Ashraf 1;10;11;1953;No
Athos91;0;0;0;No
