IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1830420196;Chin Dafnn;RANK2;245771722;246397404;-625682;784152;532152;252000;
1332726248;Sakuron;RANK2;1212256268;1212256268;0;6428957;6428957;0;
1328976539;sakurito;RANK2;1915457263;1915227635;229628;60817729;60817729;0;
1271389452;xWalkerW10x;RANK2;640544536;640534836;9700;17324;17324;0;
1271389449;xWalkerW09x;RANK2;640408642;640398942;9700;34448;34448;0;
1271388783;xWalkerW08x;RANK2;638758171;638740471;17700;47964;47964;0;
1271388743;xWalkerW07x;RANK2;639633508;639623808;9700;29240;29240;0;
1271388715;xWalkerW06x;RANK2;639728476;639718776;9700;13315;13315;0;
1271365281;xWalkerS04x;RANK2;639867804;639866104;1700;7354;7354;0;
1271365250;xWalkerS05x;RANK2;640378753;640369053;9700;18764;18764;0;
1271365142;xWalkerS03x;RANK2;640088769;640071069;17700;22966;22966;0;
1271365117;xWalkerS02x;RANK2;639867714;639850014;17700;6455;6455;0;
1271365113;xWalkerS01x;RANK2;640493109;640483409;9700;8914;8914;0;
1218827033;Chamgadad;RANK2;588259863;587739892;519971;7716984;7716984;0;
1214959089;Sargentoooo;RANK2;801989838;798917320;3072518;3607054;3607054;0;
989674494;CHIZITO;RANK2;1073180193;1073035284;144909;6233902;6233902;0;
928523397;KB Ares I;RANK3;462678172;462590172;88000;1713779;1713779;0;
904076939;Lobitomalo;RANK2;1161339412;1158380284;2959128;72756231;72756231;0;
846482624;Natanael 03;RANK2;649574558;648994558;580000;15403533;15403283;250;
766707663;TheLaPlanta;RANK2;708951746;708951746;0;8598874;8598874;0;
747751737;cyntu;RANK4;1689319981;1689163981;156000;129472971;129472971;0;
735770009;Johan0311;RANK2;1493568643;1493694559;-125916;41199879;40760507;439372;
728008821;MalcriadittA;RANK3;1020289569;1020289569;0;46616726;46616726;0;
727539438;Dkno25;RANK2;1004950352;1004950352;0;107040010;107040010;0;
701803552;QueenDramaa;RANK4;1493731824;1487849264;5882560;53533593;53533593;0;
699616405;ooVaS010oo;RANK1;1984639026;1983985326;653700;3112866;3112866;0;
699615914;ooVaS007oo;RANK1;1988154240;1987432716;721524;5537740;5537740;0;
699615845;ooVaS009oo;RANK1;2012160979;2011595279;565700;6176798;6176798;0;
699615715;ooVaS008oo;RANK1;1994671967;1994018267;653700;8688152;8688152;0;
699615662;ooVaS006oo;RANK1;2000206659;1999552959;653700;5106014;5106014;0;
699600536;ooVaS003oo;RANK1;1983334136;1982780436;553700;24804463;24804463;0;
699600401;ooVaS002oo;RANK1;1980672880;1980042560;630320;5410000;5410000;0;
699600237;ooVaS005oo;RANK1;1979746877;1979193177;553700;17728169;17728169;0;
699600230;ooVaS004oo;RANK1;2010715824;2009984184;731640;17556422;17556422;0;
699590989;ooVaS001oo;RANK1;2002194539;2001652839;541700;29491862;29491862;0;
699391973;DANIKA;RANK2;1424695032;1424531744;163288;91081018;91081018;0;
698698231;Xx Sabo xX;RANK2;508913728;508844638;69090;5532505;5532505;0;
687037882;El Dorado;RANK4;647619950;647609390;10560;1413706;1413706;0;
686099078;Darkgreen;RANK4;946630351;946470023;160328;53047990;53047990;0;
681257144;JUANPE;RANK3;2062698245;2062377709;320536;67586802;67586802;0;
672088260;Dark Mundo;RANK4;1631599327;1631747887;-148560;232756432;232755822;610;
665549405;giackrox;RANK2;1986432113;1986432113;0;211843589;211843589;0;
658113211;Michis95;RANK2;1068771619;1068595906;175713;62933207;62933207;0;
653763973;Fifi fifone;RANK4;1733014079;1732018735;995344;262484662;262484662;0;
649378702;Jhoni1;RANK2;855939690;854646495;1293195;17588947;17588947;0;
646441942;el rey montc;RANK2;1867427613;1867427613;0;173822438;173822438;0;
646349957;XxMGSxX;RANK2;1810031004;1810031004;0;78088205;78088205;0;
645515706;Analuu;RANK3;1427647186;1427647186;0;37357195;37357195;0;
634025093;valigolo02;RANK1;948978614;948978614;0;23144402;23144402;0;
631695724;Jedimester;RANK1;828979498;828977798;1700;1294341;1294341;0;
618124236;illidain;RANK3;1455334721;1454956309;378412;126370027;126370027;0;
590822297;ASTERIS7;RANK2;649951431;649950732;699;521022;521022;0;
588248851;valigolo;RANK2;968364900;968364900;0;21055957;21055957;0;
579115818;Felipe8;RANK4;806732732;806482632;250100;4452069;4452069;0;
576773217;99 A MAN;RANK3;3316167513;3316365369;-197856;412924717;412924717;0;
573727599;Jeska33;RANK2;1457300787;1456643299;657488;214244411;214244411;0;
562040476;0RickHunter0;RANK4;256524583;256436583;88000;6818434;6818434;0;
556628743;Soy Sami;RANK2;854259851;853779467;480384;14338822;14338822;0;
548470975;Navi Neytiri;RANK4;1244465259;1243739259;726000;8562525;8562525;0;
545102236;Ninja Soul;RANK1;228265790;228265790;0;1382851;1382851;0;
543574138;RoyFocker01;RANK4;2055878211;2055535304;342907;472990189;472990189;0;
543536478;Juan 7777777;RANK4;1551084658;1550959598;125060;839550593;839550593;0;
543013733;Fernando1984;RANK3;2007012577;2006244833;767744;588235738;588235738;0;
542122662;KING  SEBAS;RANK2;1646256054;1646094570;161484;262048409;262048409;0;
539752687;XAkelarreX;RANK2;818540701;818032805;507896;198684901;198684901;0;
531603934;JustLau;RANK4;1393110969;1392414969;696000;32046708;32046708;0;
527850333;FedEx2021;RANK4;1946232561;1945692561;540000;327196932;327196932;0;
527571135;Matias8;RANK5;2217378303;2216439963;938340;1035667555;1035667555;0;
527258995;Dovux;RANK3;1808898600;1808898600;0;396743633;396743633;0;
522130170;Campanula13;RANK4;1640965001;1641090185;-125184;159280728;159280728;0;
517552301;Kuuuushhhh;RANK2;1573983837;1573800309;183528;133172138;133172138;0;
505302369;Liiiin;RANK2;3034190650;3034190650;0;476246944;476246944;0;
469048815;Ashnyk;RANK4;1227574156;1227481508;92648;37030833;37030805;28;
446564417;Takki85;RANK2;879487126;878815126;672000;10297468;10297468;0;
436361778;Dariiooo;RANK4;1597417057;1596915806;501251;361981943;361981943;0;
436023142;Miss Lake;RANK4;1871179618;1870458110;721508;652157670;652157670;0;
431325262;MenteMaestra;RANK4;1384578263;1383908263;670000;36651392;36651392;0;
429963525;RAIBACK;RANK2;1003938015;1028054651;-24116636;32696050;32623852;72198;
428954168;Athos91;RANK4;478793169;478236869;556300;118475670;118475670;0;
421677649;Coloso xv;RANK2;822520132;822520132;0;87514112;87514112;0;
419071630;XxFluffyDom;RANK2;1643281660;1642578760;702900;100201094;100201094;0;
418916566;S O F l A;RANK3;1332602220;1332548372;53848;39337704;39337704;0;
410376152;ryckzolea;RANK2;1090432253;1090432253;0;4571116;4571116;0;
397325214;Sr Barrigon;RANK4;798894059;798894059;0;15423006;15423006;0;
340479367;lBerrinchesl;RANK4;480321887;480303887;18000;52500042;52500042;0;
334641435;NASHA MUERTE;RANK4;1401338226;1400694426;643800;288795631;288795631;0;
329944274;Espartajesus;RANK2;2349680729;2349524729;156000;263388406;263388406;0;
315322194;SH4NKS01;RANK2;1333971738;1333837498;134240;293811007;293811007;0;
