IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1464681958;YoyiisAle;RANK1;168255941;168165941;90000;3152976;3152976;0;
1401255989;4kasha;RANK1;633687708;633687708;0;10009232;10009232;0;
1349336819;Nemesis900;RANK3;480484374;480484374;0;34612093;34612093;0;
1320553090;Ld Freya;RANK3;488738079;488685871;52208;7120182;7120182;0;
1295397252;MORTEeGLORI;RANK5;329620971;329620971;0;32580181;32580181;0;
1292493587;Tropii;RANK3;481281916;479911116;1370800;20198454;20198454;0;
1287530417;Sr Popeye;RANK3;895449283;894999857;449426;501374596;501374596;0;
1282148494;DrStrange94;RANK2;630066589;630066589;0;12266948;12266948;0;
1267246400;LorFrosTWolF;RANK3;325601098;325561098;40000;9979550;9979550;0;
1258100739;mamaloncita;RANK3;312982920;312982920;0;24083716;24083716;0;
