IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1464681958;YoyiisAle;RANK1;168165941;167619941;546000;3152976;3152976;0;
1401255989;4kasha;RANK1;633625908;633625908;0;10009232;10009232;0;
1349336819;Nemesis900;RANK3;480484374;480484374;0;34612093;34612093;0;
1320553090;Ld Freya;RANK3;488445871;488370111;75760;7120182;7120182;0;
1295397252;MORTEeGLORI;RANK5;329620971;329616971;4000;32580181;32580181;0;
1292493587;Tropii;RANK3;479911116;479457516;453600;20198454;20198454;0;
1287530417;Sr Popeye;RANK3;894999857;894459857;540000;501374596;501374596;0;
1282148494;DrStrange94;RANK2;630066589;630066589;0;12266948;12266948;0;
1267246400;LorFrosTWolF;RANK3;326308210;325860958;447252;9979195;9978048;1147;
1265721849;Alex1403;RANK3;429936169;0;0;136485257;0;0;
1258100739;mamaloncita;RANK3;312982920;312982920;0;24083716;24083716;0;
