IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1991436921;AntiBBMbuaya;RANK3;62723073;61058422;1664651;3979959;3979959;0;
1987731417;BMW0333;RANK1;6740208;5389518;1350690;25692;25692;0;
1953004725;exparta 300;RANK3;219520618;212925284;6595334;2587080;2587080;0;
1869827776;BMW033;RANK4;165980672;165542592;438080;3391943;3391943;0;
1865655896;Arnald;RANK3;155371442;155367442;4000;417656;417656;0;
1812242908;Davids34;RANK2;53072186;53061986;10200;1562273;1562273;0;
1715301671;ZERO ONE RED;RANK2;191137674;191137674;0;3567482;3567482;0;
1563521839;Evil Crusher;RANK1;30683439;30650799;32640;695842;695842;0;
1439804125;FRAJOLA xR;RANK2;76177067;76177067;0;129514;129514;0;
1399644307;BMW03;RANK3;225434529;219818529;5616000;17269407;17269407;0;
1354968546;Jaime Duende;RANK2;42692865;42692865;0;362402;362402;0;
1298845930;Eni 205;RANK2;129547101;129547101;0;7905854;7905854;0;
1291517751;Tex Hik ru;RANK3;296446394;293935658;2510736;3009387;3009387;0;
1281971046;Boss X DJ;RANK2;268576770;268493814;82956;7750189;7750189;0;
1268837245;ADES333;RANK3;781310972;774978986;6331986;20662972;20662972;0;
1259404288;cumbia 21;RANK2;338673646;338063646;610000;4209434;4209434;0;
1258492999;babacikburda;RANK2;57566538;57566538;0;1403814;1403814;0;
1248533104;TroyMcClure7;RANK2;22991111;22991111;0;89195;89195;0;
1218400831;sukis;RANK2;505874970;505874970;0;15529165;15529165;0;
1204061986;rhaenyra85;RANK2;81105021;80481496;623525;578593;578593;0;
1091346744;artemisa85;RANK4;269772403;269772403;0;2251499;2251499;0;
1059882725;Nena94;RANK4;219286752;219286752;0;4602697;4602697;0;
1052841957;Lagerthaa85;RANK2;476826732;475472534;1354198;5250881;5250881;0;
1047434554;Sr K15;RANK2;72988491;73118227;-129736;3823217;3822485;732;
1037344998;Hades1234569;RANK4;1215377251;1215345709;31542;9770772;9770772;0;
1036562095;Ryzen 9;RANK3;280359908;281773904;-1413996;7182983;7182983;0;
1030714087;Maradon4 xRN;RANK2;451323043;451263043;60000;44760;44760;0;
1021109878;franco e isa;RANK3;771196249;771135931;60318;3052848;3052848;0;
1017960864;Darcksider2;RANK3;462534994;461788932;746062;23461912;23461912;0;
1000860405;Chapolin xRn;RANK4;1822777456;1822047120;730336;176387486;176387486;0;
988897627;Afrodita101;RANK3;1696423909;1702342297;-5918388;9836512;9836512;0;
988653129;SantiSO;RANK4;626165795;626165795;0;5268414;5268414;0;
988631428;Saruman X;RANK4;774743264;782109052;-7365788;13912798;13912798;0;
954413696;Napoleon2018;RANK4;798834603;798654263;180340;11076020;11076020;0;
950983102;Jordi  E N P;RANK2;327891284;327891284;0;40234020;40234020;0;
933906112;MURAT 060;RANK1;533341994;532802146;539848;34192024;34192024;0;
919014383;Nemesis29;RANK2;278566552;274040332;4526220;7643701;7643701;0;
896632660;Destructoski;RANK4;463531784;462744956;786828;7330408;7330408;0;
895849437;RrqJunior;RANK1;816836;816836;0;13101;13101;0;
886861087;ADES 888;RANK3;1005508841;1049105529;-43596688;14366433;14366433;0;
880503697;castiel thc;RANK2;673795938;673795938;0;7762617;7762617;0;
875686253;Yna16;RANK2;468559528;469029868;-470340;17410166;17410166;0;
