IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1955823507;X MUNK  HERE;RANK1;86951619;86948047;3572;17432132;17432132;0;
1953004725;exparta 300;RANK2;184850872;183869619;981253;1395846;1395846;0;
1869827776;BMW033;RANK4;123981258;120852193;3129065;2480636;2480636;0;
1865655896;Arnald;RANK3;136147249;136046249;101000;307171;307171;0;
1439804125;FRAJOLA xR;RANK2;74217587;74217587;0;65037;65037;0;
1354968546;Jaime Duende;RANK1;41030823;41030823;0;362402;362402;0;
1298845930;Eni 205;RANK3;147067406;147067406;0;7771198;7771198;0;
1291517751;Tex Hik ru;RANK2;275831120;277396772;-1565652;2986410;2984640;1770;
1268837245;ADES333;RANK4;725437105;723555713;1881392;20395344;20374036;21308;
1259404288;cumbia 21;RANK4;249161131;248896755;264376;4209434;4209434;0;
1248533104;TroyMcClure7;RANK2;20643679;20599839;43840;60166;60166;0;
1218400831;sukis;RANK4;514408232;514067832;340400;15098261;15098261;0;
1059882725;Nena94;RANK4;218030530;218030530;0;4602697;4602697;0;
1052841957;Lagerthaa85;RANK2;447574620;413403464;34171156;5250881;5250837;44;
1047434554;Sr K15;RANK2;92846443;93035771;-189328;3583220;3582988;232;
1037344998;Hades1234569;RANK4;1172882042;1171097030;1785012;9761026;9761026;0;
1036562095;Ryzen 9;RANK4;277095550;277105598;-10048;6898946;6898946;0;
1030714087;Maradon4 xRN;RANK2;403954602;403894602;60000;44760;44760;0;
1021109878;franco e isa;RANK4;750475186;750024988;450198;3043991;3043959;32;
1017960864;Darcksider2;RANK3;488178239;488178239;0;23213167;23213167;0;
1000860405;Chapolin xRn;RANK4;1776250276;1754241169;22009107;176331100;176331100;0;
996989894;Dragoncito3;RANK1;45533600;45533600;0;217672;217672;0;
996982422;GhostYT;RANK1;629761850;629761850;0;33919309;33919309;0;
988897627;Afrodita101;RANK4;1613689224;1612200364;1488860;9836512;9836512;0;
988653129;SantiSO;RANK4;611687855;611107655;580200;5202736;5202676;60;
988631428;Saruman X;RANK4;709857515;709852515;5000;13840270;13840270;0;
954413696;Napoleon2018;RANK4;777357335;776452972;904363;11075748;11075568;180;
950983102;Jordi  E N P;RANK4;413135490;413024790;110700;39142240;39142240;0;
947293722;Orlando 45;RANK2;140076347;140076347;0;858418;858418;0;
919014383;Nemesis29;RANK3;365400378;365400378;0;6845888;6845888;0;
905429510;ADES 111;RANK1;25493271;25493271;0;436685;436685;0;
896632660;Destructoski;RANK3;425591214;425329085;262129;7330408;7330408;0;
886861087;ADES 888;RANK4;992395608;992267060;128548;11892594;11881129;11465;
884360679;Rock Junior;RANK4;929704773;929738655;-33882;38517706;38384194;133512;
880503697;castiel thc;RANK2;662917458;662830358;87100;7661883;7661883;0;
875686253;Yna16;RANK2;460416327;460502827;-86500;17319830;17319830;0;
862668268;Olgiz;RANK4;396715360;396715360;0;15165183;15165183;0;
843203063;Misssa;RANK1;311282375;311282375;0;6886534;6886534;0;
838078071;TexHik pyc;RANK2;859871083;859346211;524872;9556481;9556481;0;
837112253;borre1421;RANK4;616708510;608567062;8141448;32007973;32007973;0;
836562718;rufo 44;RANK4;587144925;587144925;0;36329505;36329505;0;
834188413;3AXAP GALA;RANK2;998757892;999067277;-309385;6502967;6502967;0;
829438122;Intel i9;RANK3;463487165;463596245;-109080;22388541;22388541;0;
829121660;Desquintador;RANK4;486069630;486069630;0;33394413;33394413;0;
823259956;isis 24;RANK2;428164356;428015556;148800;19768347;19768347;0;
822769342;PENETREITORR;RANK4;794201882;793312682;889200;23865434;23865434;0;
818512648;Rock  Ford 2;RANK4;1339534979;1339251501;283478;53849514;53849478;36;
813734403;3axap gala U;RANK2;903831319;903872041;-40722;8385889;8385751;138;
813359673;juanpablo3;RANK1;1088146827;1088146827;0;72055083;72055083;0;
812510915;king  Gondor;RANK4;537271925;537271925;0;66988852;66988852;0;
805478451;AMATEUS;RANK1;1364741735;1364741735;0;265899922;265899922;0;
800319527;Lord Josed;RANK4;818967617;818442407;525210;26191010;26190986;24;
800045913;jmic17986;RANK4;1057703804;1057691304;12500;7562374;7562374;0;
770918772;MSoloRally;RANK2;869752159;869752159;0;20031989;20031989;0;
737959216;robert72 jr;RANK3;108188360;108188360;0;1361969;1361969;0;
722457143;rey d Gondor;RANK4;894720450;894808038;-87588;185466790;185466790;0;
681546337;F41CON 55;RANK3;464732809;464732809;0;5261947;5261947;0;
651865656;LuaT1cu;RANK2;557130988;557130988;0;12461721;12461721;0;
627017490;Rock  Ford;RANK4;1453592535;1452740514;852021;154352289;154352289;0;
609926462;Diosa gea 24;RANK2;356108070;356108070;0;40647189;40647189;0;
609145744;12345ku;RANK1;233282565;233197401;85164;7703387;7703387;0;
574580766;CH1HUAHUA;RANK4;188635321;188635321;0;30505129;30505129;0;
570579322;BOMBERO777;RANK4;276677818;276677818;0;28726216;28726216;0;
556909957;Robert 72;RANK4;1049320863;1049320863;0;111248033;111248033;0;
521217128;Jesus954;RANK2;620952539;618845182;2107357;27434331;27434331;0;
417281698;Orlando40;RANK2;306643440;306616905;26535;1638031;1638031;0;
402214266;rey Gondor;RANK5;1121960255;1114336483;7623772;422652250;422645314;6936;
393765136;Orlando7807;RANK3;475744290;475780326;-36036;10012949;10012949;0;
367032815;Orlando AG78;RANK2;211695038;211707422;-12384;2951486;2951460;26;
347180916;Orlando AG;RANK4;787224719;787224719;0;22856226;22856226;0;
250133078;FIREROBERT72;RANK4;1750534423;1750534423;0;1054822367;1054822367;0;
