Name;Completed;Total;Score;Completed Bonus
omegasclmb;10;10;2286;No
Drizztlugo;10;10;2283;No
Sr MICKEY;10;10;2180;No
Chema38;10;10;2154;No
Wotam;10;10;2090;No
Akita v;10;10;2076;No
shiro128;10;10;2058;No
The Huava3;10;10;2043;No
Ako ako II;10;10;2024;No
Guenyiar;10;10;2019;No
locomotora50;10;10;2012;No
Heviel;10;10;2010;No
MF FBI Agent;10;10;2010;No
kvothe 19;10;10;1984;No
Diasus;10;10;1952;No
Yako57;10;10;1942;No
cayo2024;9;10;1933;No
XxSeruhioXx;10;10;1931;No
Carlos130277;10;10;1921;No
ODIN m;10;10;1921;No
TWICE OT9;10;10;1916;No
1e kalox;10;10;1912;No
Radhamantyss;10;10;1908;No
Valroc;10;10;1905;No
vihenna00;10;10;1902;No
MORRIGAN 666;9;10;1901;No
Mr Juanzhito;10;10;1897;No
lokokuerdo;10;10;1893;No
MF YukariShi;10;10;1887;No
Darkeysi;10;10;1882;No
Checho801;10;10;1868;No
sarily;10;10;1864;No
Chavelox;10;10;1863;No
Lord Xing S2;10;10;1858;No
mrbulllzz221;10;10;1857;No
Ave Fenix vr;10;10;1857;No
Lugo75;9;10;1857;No
monky120;10;10;1848;No
ES VLC73;10;10;1830;No
miya musashi;10;10;1828;No
x BANXICO x;10;10;1827;No
DRAKO rc;10;10;1823;No
felipe l pro;10;10;1821;No
Rey Ali;10;10;1819;No
Basi BaM;9;10;1819;No
Karenzitq;10;10;1817;No
Ako Ako 98;10;10;1800;No
Namysam;10;10;1796;No
zT Tian;10;10;1793;No
juligan;10;10;1792;No
KillerRalph0;10;10;1788;No
Jarlaxe;9;10;1787;No
DarkLord 0;10;10;1784;No
laUmikeltron;10;10;1783;No
PechaN13;10;10;1782;No
DragonHouse;10;10;1781;No
jog2;10;10;1779;No
Lau sirstone;10;10;1775;No
Pel1;10;10;1765;No
Nico Robin26;10;10;1762;No
keanelove;9;10;1762;No
A N D E R D;10;10;1759;No
mala yerba;10;10;1743;No
06saske;10;10;1740;No
ZAPZDOR;10;10;1739;No
libaoo;10;10;1734;No
LOKI mn;10;10;1731;No
KarenxiTq;10;10;1727;No
1eOmegaclmb;10;10;1723;No
lordDanny00;9;10;1721;No
limite12;10;10;1717;No
Slime 3;10;10;1711;No
Elsin;9;10;1706;No
Valle10;10;10;1701;No
iKarensita;9;10;1693;No
MF YukariBob;10;10;1683;No
whejeje;9;10;1682;No
1e DEMOLEDOR;9;10;1677;No
XxTijuanaxX;10;10;1671;No
vikingo;10;10;1655;No
MF YukariSid;10;10;1655;No
F41RYT41L;8;10;1640;No
Javierblan;10;10;1631;No
limite1;10;10;1624;No
Black Liger;9;10;1611;No
