IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1910897748;The Huava3;RANK4;215055699;214945398;110301;37052928;37052928;0;
1904003311;Valle10;RANK4;163988852;163668827;320025;107076;107076;0;
1800664858;Lau sirstone;RANK4;555820770;555804770;16000;6137999;6137999;0;
1800129182;laUmikeltron;RANK4;650054428;650181076;-126648;5539072;5539072;0;
1792262200;Ako ako II;RANK4;170873409;170897133;-23724;22961208;22961208;0;
1781275625;CY RichT;RANK2;33984826;33984826;0;19209038;19209038;0;
1242670035;Ako Ako 98;RANK4;1078195126;1078127493;67633;12761764;12761764;0;
1075661724;felipe l pro;RANK4;906234839;906162839;72000;11038992;11038992;0;
955760825;Serch Lopez;RANK4;602290985;602289185;1800;6429149;6429149;0;
953785923;Checho801;RANK4;1042969681;1042897681;72000;11366065;11366065;0;
940780540;Carlos130277;RANK4;1109726181;1109726181;0;29464037;29464037;0;
938480174;Black Liger;RANK1;1130194805;0;0;3784503;0;0;
900415702;Radhamantyss;RANK4;613733339;612498023;1235316;7273091;7273091;0;
898393247;miya musashi;RANK4;771526214;771426214;100000;8432281;8432281;0;
869501957;lordDanny00;RANK4;829055564;828467432;588132;21414133;21414133;0;
812940542;A N D E R D;RANK4;638752549;625188304;13564245;48770694;48770694;0;
790057093;Mr Juanzhito;RANK4;311162424;311162424;0;1167762;1167762;0;
782251021;lokokuerdo;RANK4;974530094;974530094;0;41756963;41756963;0;
777540447;Nico Robin26;RANK4;1090737913;1090737913;0;25903949;25903949;0;
776981913;jog2;RANK4;1151386166;1149154060;2232106;39879685;39879685;0;
770859094;iKarensita;RANK4;304775777;304777037;-1260;1497410;1497410;0;
768898436;mrbulllzz221;RANK4;422937161;421019210;1917951;7059606;7059606;0;
766183317;kvothe 19;RANK4;999601171;999071095;530076;12907807;12907807;0;
765709482;Karenzitq;RANK4;12749440;12711040;38400;3369;3369;0;
763305835;KarenxiTq;RANK4;391082041;390673477;408564;20552932;20552932;0;
762350010;zT Tian;RANK4;689051054;689051054;0;69379705;69379705;0;
760762600;omegasclmb;RANK4;1262725187;1262663214;61973;1679858;1679858;0;
756000274;juligan;RANK4;825341653;807507067;17834586;34462561;34462561;0;
728690522;rocky5t;RANK4;612050577;611780529;270048;20272744;20272744;0;
702031414;Heviel;RANK4;1889068440;1888986804;81636;586368985;586368985;0;
701939892;F41RYT41L;RANK4;1995641723;1988476349;7165374;89228338;89228338;0;
701929222;06saske;RANK4;1574407865;1565321725;9086140;63423388;63143388;280000;
699139039;monky120;RANK4;770006964;769976508;30456;23049585;23049585;0;
696890984;arubiac;RANK4;142819425;142819425;0;863276;863276;0;
694641208;DRAKO rc;RANK4;1070648615;1070084315;564300;10820147;10820147;0;
688104890;rambito v;RANK4;639962979;639962979;0;23718041;23718041;0;
676976652;vikingo;RANK4;868860055;866908081;1951974;30970590;30970590;0;
672155023;keanelove;RANK5;797639347;797639347;0;824097;824097;0;
665107504;DarkLord 0;RANK4;2398644863;2398625759;19104;252625701;252621249;4452;
665026043;Elsin;RANK4;1683071971;1682999971;72000;231308034;231308034;0;
664970697;Chema38;RANK4;1884969746;1884995858;-26112;53180512;53180512;0;
664333744;sarily;RANK4;1550140212;1545184913;4955299;13563822;13563822;0;
662512616;shiro128;RANK4;1325951156;1325532740;418416;7509380;7509380;0;
653257909;MF YukariBob;RANK4;1585403057;1585403057;0;89457409;89457409;0;
649979654;mala yerba;RANK4;814490519;814853867;-363348;631235;631235;0;
649717056;MF FBI Agent;RANK4;412356127;412164127;192000;1148507;1148507;0;
647480950;Ave Fenix vr;RANK4;1240107517;1240107517;0;21313424;21313424;0;
646701937;Akita v;RANK4;1897156971;1893562761;3594210;121402434;121402434;0;
634968940;Rey Ali;RANK4;529773546;529620846;152700;33974519;33974519;0;
