Name;Completed;Total;Score;Completed Bonus
F41RYT41L;10;11;2703;Yes
MF YukariShi;11;11;2632;Yes
Chema38;10;11;2594;Yes
ELIDER JBP;11;11;2576;Yes
DragonHouse;11;11;2570;Yes
ES VALLEKA0;11;11;2544;Yes
Nico Robin26;11;11;2489;Yes
LUISJBP;11;11;2484;Yes
Drizztlugo;10;11;2479;Yes
omegasclmb;9;11;2438;Yes
Akita v;11;11;2420;Yes
ES SANA 62;11;11;2400;No
Dark Lord 0;11;11;2397;Yes
ES YOL 63;11;11;2394;Yes
ES LIA;11;11;2377;Yes
Wotam;11;11;2344;Yes
Valroc;11;11;2322;Yes
1eOmegaclmb;11;11;2256;No
Ave Fenix vr;11;11;2249;Yes
Mery  15;11;11;2245;Yes
MF YukariBob;11;11;2243;Yes
M1R4J4N3;11;11;2236;Yes
ES ALE 94;11;11;2228;Yes
sarily;11;11;2218;No
keanelove;11;11;2206;Yes
Namysam;11;11;2204;No
shiro128;11;11;2203;Yes
Yako57;11;11;2199;No
Lugo75;11;11;2198;Yes
1e DEMOLEDOR;11;11;2195;Yes
ES KIRA 17;11;11;2194;No
Heviel;10;11;2175;Yes
KINGLYON 5;11;11;2174;No
felipe l pro;11;11;2174;Yes
XxSeruhioXx;11;11;2162;Yes
Ako Ako 98;11;11;2143;No
vihenna00;10;11;2128;Yes
TWICE OT9;11;11;2123;No
ES DSL 20;11;11;2120;No
MF YukariSid;11;11;2117;No
Tairn;11;11;2116;No
Pel1;11;11;2110;Yes
ODIN m;11;11;2095;Yes
ES VLC73;11;11;2092;No
mala yerba;11;11;2087;No
zT Tian;10;11;2086;Yes
Sgael;11;11;2075;No
KarenxiTq;11;11;2066;Yes
de ferrol;11;11;2066;Yes
Nahu94;11;11;2063;Yes
Guenyiar;10;11;2062;Yes
A N D E R D;11;11;2061;No
Karenzitq;11;11;2058;No
jog2;11;11;2043;No
mrbulllzz221;10;11;2031;No
54K4K1 RY0K0;10;11;2016;No
MF FBI Agent;11;11;2016;No
LOKI mn;11;11;2009;No
DRAKO rc;10;11;2003;Yes
zipi;11;11;2002;No
miya musashi;11;11;1993;No
RVERTICAL;11;11;1988;No
Thezoombiii;11;11;1980;Yes
zape;11;11;1977;Yes
1e kalox;10;11;1961;Yes
iKarensita;11;11;1905;No
lordDanny00;11;11;1892;No
xAndarna;10;11;1875;No
juligan;11;11;1875;No
Jarlaxe;8;11;1872;Yes
Radhamantyss;9;11;1865;No
kvothe 19;10;11;1847;No
Khal Drogo 9;10;11;1832;Yes
SweetcastIe;9;10;1823;Yes
vikingo;10;11;1823;No
1T4CHI;10;11;1819;Yes
DAR10;10;11;1818;Yes
lokokuerdo;9;11;1815;Yes
06saske;10;11;1800;No
