IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1242670035;Ako Ako 98;RANK3;801518568;801616143;-97575;12761408;12761404;4;
1218072831;Thezoombiii;RANK2;751274244;751186068;88176;18089167;18089167;0;
1075661724;felipe l pro;RANK3;738332971;588442513;149890458;8477702;8477702;0;
1052237145;Lord nocho 4;RANK3;634722021;0;0;10093486;0;0;
900415702;Radhamantyss;RANK3;520958273;520898273;60000;5904366;5904366;0;
898393247;miya musashi;RANK3;694058638;694062706;-4068;7134257;7134257;0;
879138871;ELIDER JBP;RANK2;772999349;772419349;580000;3568651;3568651;0;
869501957;lordDanny00;RANK3;689779875;689779875;0;20119409;20119409;0;
864220401;zkil;RANK3;437757221;437759659;-2438;7512142;7512142;0;
856937350;xx Heimdall;RANK3;863869447;863869447;0;29861543;29861543;0;
816223606;SIUL REIVAJ;RANK2;657769111;655003730;2765381;5274702;5274702;0;
812940542;A N D E R D;RANK3;542263544;541112476;1151068;43333532;43333532;0;
799021718;xAndarna;RANK3;333761859;333761853;6;980863;980863;0;
798120725;Khal Drogo 9;RANK1;1694941541;0;0;191267582;0;0;
790057093;Mr Juanzhito;RANK3;293837349;293555009;282340;1049753;1049753;0;
782251021;lokokuerdo;RANK3;923975041;922706761;1268280;39700699;39700699;0;
777540447;Nico Robin26;RANK3;962038245;961964441;73804;24512397;24512397;0;
776981913;jog2;RANK3;1207646915;1206917911;729004;29248163;29248163;0;
775557885;KINGLYON 5;RANK3;847044187;847044187;0;9354134;9354134;0;
770859094;iKarensita;RANK2;294712250;294712250;0;1282204;1282204;0;
768898436;mrbulllzz221;RANK3;360493126;360212326;280800;6142099;6142099;0;
767726123;KiNgJuLiO;RANK3;735557226;728758459;6798767;43758996;43758858;138;
766183317;kvothe 19;RANK3;912715876;912715876;0;9419267;9419267;0;
763305835;KarenxiTq;RANK3;405509623;405509623;0;19576520;19576520;0;
762350010;zT Tian;RANK3;600865058;600865058;0;68549977;68549977;0;
760762600;omegasclmb;RANK3;1094875515;1091558565;3316950;1128884;1128884;0;
756000274;juligan;RANK3;810791733;810719733;72000;30861465;30861465;0;
749092238;LUISJBP;RANK2;827268761;826566761;702000;14259036;14259036;0;
728690522;rocky5t;RANK3;836035615;836787433;-751818;16926766;16569073;357693;
720904707;JAVIER BP;RANK2;1156941285;1156932159;9126;6623508;6623508;0;
709461619;LJ BARRIOS;RANK2;993742671;993742671;0;6237909;6237909;0;
702031414;Heviel;RANK4;1790667915;1790667915;0;586368985;586368985;0;
701939892;F41RYT41L;RANK3;2018552219;2018525935;26284;76300793;76300793;0;
701929222;06saske;RANK3;1478612463;1478596692;15771;60828933;60828933;0;
696890984;arubiac;RANK3;139721759;139636595;85164;863227;863227;0;
694641208;DRAKO rc;RANK3;1034329277;1034993473;-664196;9701736;9701060;676;
694058607;ES LIA;RANK3;446212586;446203460;9126;203942;203942;0;
688104890;rambito v;RANK3;830524187;829144904;1379283;19540404;18014269;1526135;
676976652;vikingo;RANK3;1063685658;1063676532;9126;27077058;27077058;0;
674597107;Gaby TMO;RANK3;333111250;333111250;0;198993;198993;0;
