User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;190;189;1;;0;142;47;0;0;;1;0;0;0;0;;0;0%;;0;0%;;2025/01/08 00:01:54;2025/02/08 00:00:00
1208490756;KIOS RL;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;4%;;0;0%;;2025/01/08 02:50:41;2025/01/08 02:51:44
461748386;Agam Paleh;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;10%;;0;0%;;2025/01/08 16:29:42;2025/01/08 16:31:35
554914356;Anak Aceh;14;14;0;;0;13;1;0;0;;0;0;0;0;0;;16;32%;;0;0%;;2025/01/08 15:28:55;2025/01/08 15:41:31
875841184;ANDROID N17;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;4%;;0;0%;;2025/01/08 07:10:48;2025/01/08 07:12:06
915515244;ANDROID N18;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
973221525;Arcangel 82;4;4;0;;0;2;2;0;0;;0;0;0;0;0;;8;16%;;0;0%;;2025/01/08 08:41:06;2025/01/08 22:05:33
912295699;baki I;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;8%;;0;0%;;2025/01/08 00:03:13;2025/01/08 22:58:49
734622817;bdtamdlb;3;2;1;;0;1;1;0;0;;1;0;0;0;0;;4;8%;;1;2%;;2025/01/08 07:00:40;2025/01/08 08:04:57
1028737330;Bestial 07;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;14%;;0;0%;;2025/01/08 05:29:19;2025/01/08 17:25:04
697442828;BETULIANO;7;7;0;;0;2;5;0;0;;0;0;0;0;0;;17;34%;;0;0%;;2025/01/08 06:18:47;2025/01/08 18:19:53
1370450474;Boy Paleh;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;4%;;0;0%;;2025/01/08 16:40:23;2025/01/08 16:41:34
568020944;Camus2501;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1237966261;DavidGomezM;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;6%;;0;0%;;2025/01/08 20:29:45;2025/01/08 20:29:45
814195631;dromedario74;2;2;0;;0;1;1;0;0;;0;0;0;0;0;;4;8%;;0;0%;;2025/01/08 04:56:16;2025/01/08 15:20:50
1038717074;GAFE delta;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;14%;;0;0%;;2025/01/08 05:20:11;2025/01/08 20:10:34
656299079;hgxh;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;12%;;0;0%;;2025/01/08 03:43:23;2025/01/08 22:37:42
1237128031;INTUMDER4077;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;6;12%;;0;0%;;2025/01/08 06:00:51;2025/01/08 06:03:27
1028916096;iskwl;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1116086731;ivan1983niii;6;6;0;;0;4;2;0;0;;0;0;0;0;0;;10;20%;;0;0%;;2025/01/08 06:04:24;2025/01/08 23:17:30
823596590;Jackx90;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;8%;;0;0%;;2025/01/08 16:58:22;2025/01/08 16:59:31
786031159;RIQU1NH0;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;6%;;0;0%;;2025/01/08 17:03:25;2025/01/08 17:03:25
1056193592;sansan015;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;6%;;0;0%;;2025/01/08 16:40:20;2025/01/08 16:40:20
1028978876;saretan1;3;3;0;;0;2;1;0;0;;0;0;0;0;0;;5;10%;;0;0%;;2025/01/08 04:52:59;2025/01/08 14:10:54
1056382589;saturn 43;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;6%;;0;0%;;2025/01/08 10:59:27;2025/01/08 11:00:31
1271025829;WILD HORSE01;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;10%;;0;0%;;2025/01/08 02:57:11;2025/01/08 15:40:59
1038032083;winrafelo;2;2;0;;0;0;2;0;0;;0;0;0;0;0;;6;12%;;0;0%;;2025/01/08 09:02:26;2025/01/08 20:33:50
901224562;xDon Brookx;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;6%;;0;0%;;2025/01/08 07:16:26;2025/01/08 07:16:26
933596292;xXLaDiablaXx;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;8%;;0;0%;;2025/01/08 16:21:11;2025/01/08 16:21:46
735978727;zFisuraArg;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;4%;;0;0%;;2025/01/08 16:50:57;2025/01/08 16:51:42
566104877;151ldur;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;14%;;0;0%;;2025/01/08 04:07:14;2025/01/08 21:11:21
723840148;252ldur;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1248049126;AGAR1907;3;3;0;;0;2;1;0;0;;0;0;0;0;0;;5;10%;;0;0%;;2025/01/08 05:50:40;2025/01/08 20:30:49
319717849;Alisonx90;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
922696079;azteca B I;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;4%;;0;0%;;2025/01/08 07:52:53;2025/01/08 07:57:02
1210723234;banco de rrs;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
510228672;BAWOX SquaD;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;6%;;0;0%;;2025/01/08 13:32:14;2025/01/08 13:32:14
