Name;Completed;Total;Score;Completed Bonus
iehz;7;7;1161;No
CoriOlga12;7;7;1099;No
joaki;7;7;1077;No
s h e i;7;7;1073;No
DwSoMBrA;7;7;1041;No
HOLLYWOOD 1;7;7;1028;No
Sackary;6;7;968;No
Drackary;6;6;872;No
jaal;6;7;869;No
Latino  05;6;6;834;No
ScarlettJeon;6;6;827;No
DAM3queteD0Y;3;3;401;No
Doow aredaM;2;2;242;No
BANKRNX13;0;0;0;No
Pickiy28;0;0;0;No
HamburguerR;0;0;0;No
Galileoooo0;0;0;0;No
Saul king;0;0;0;No
masharusa;0;0;0;No
Arcaangel;0;0;0;No
Muecho;0;0;0;No
MrGio1;0;0;0;No
luxrey 022;0;0;0;No
Doof adimoC;0;0;0;No
Jossetty;0;0;0;No
Cuoredamore;0;1;0;No
Enots ardeiP;0;0;0;No
EDEN MIRU;0;0;0;No
RA0N MIRU;0;0;0;No
C Y B E R;0;0;0;No
lll  Sk  lll;0;0;0;No
Ero lareniM;0;0;0;No
LareniM ErO;0;0;0;No
ll  Angel ll;0;0;0;No
LinconlSky;0;0;0;No
