IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1823122861;Trampa nb;RANK1;199031748;198767748;264000;16711415;16711415;0;
1240847356;Kcha1;RANK2;132144882;130561614;1583268;326596;326596;0;
1088629466;jaal;RANK3;491038080;491015738;22342;8328843;8328843;0;
1060341130;LNFwarrior;RANK2;549239527;549239527;0;7932258;7932258;0;
1011841157;Galileoooo0;RANK1;120428951;120428951;0;2497219;2497219;0;
953673206;kayro 1;RANK1;156620484;156620484;0;5816042;5816042;0;
949682303;Isbela2023MD;RANK2;413880550;413880550;0;9504604;9504604;0;
836168726;Saul king;RANK2;522547358;522040862;506496;9970863;9970863;0;
835608621;Lord Yamjo86;RANK2;531556500;531510500;46000;7088065;7088065;0;
813324952;Muecho;RANK3;386569812;386569812;0;14390971;14390971;0;
808133330;MrGio1;RANK1;685957225;685957225;0;58570292;58570292;0;
786043906;Latino  05;RANK4;534919556;534919556;0;48574122;48574122;0;
773542855;ScarlettJeon;RANK3;193471431;193204242;267189;2686800;2686800;0;
770701413;xhjsj;RANK1;1173750578;1173500978;249600;302633098;302633098;0;
747009458;Anaquin;RANK1;741488537;741480177;8360;16689033;16689033;0;
742285723;DAM3queteD0Y;RANK4;394501986;394501986;0;6174976;6174976;0;
712765856;MIRMIDON;RANK1;398837022;398873022;-36000;2715045;2714963;82;
706432807;AQUILES    z;RANK1;573013414;573037414;-24000;7544091;7544025;66;
705324236;xxxxA;RANK1;330412547;329988535;424012;16076803;16076803;0;
703391242;CoriOlga12;RANK4;1132003529;1131869566;133963;4628703;4628703;0;
683532126;Doof adimoC;RANK4;24142032;24142032;0;529639;529639;0;
683523854;Jossetty;RANK4;656866432;656866432;0;243759628;243759628;0;
671351901;Cuoredamore;RANK3;560322812;560322812;0;6701690;6701690;0;
656442163;ositopolar;RANK1;224106978;224106978;0;20587365;20587365;0;
637666059;iehz;RANK4;1933166942;1932927830;239112;160993324;160993324;0;
637661849;s h e i;RANK4;390836155;390798853;37302;2531421;2531421;0;
636258671;BANKRNX13;RANK2;688130605;688130605;0;91350564;91350564;0;
629222784;Doow aredaM;RANK4;186774110;186774110;0;30244;30244;0;
617545910;Enots ardeiP;RANK4;223671211;223671211;0;33894047;33894047;0;
597551826;EDEN MIRU;RANK1;585631253;585611540;19713;38211533;38211533;0;
587623473;DwSoMBrA;RANK4;1130442373;1122611399;7830974;27863919;27863919;0;
565155630;RA0N MIRU;RANK1;964648684;964088971;559713;214562460;214562460;0;
560661134;C Y B E R;RANK4;772439955;772278227;161728;95180359;95180359;0;
553957423;lll  Sk  lll;RANK4;459882206;459818558;63648;95468767;95468767;0;
533673376;Ero lareniM;RANK4;265200531;265090794;109737;35156542;35156542;0;
532815899;LareniM ErO;RANK4;25476750;25476726;24;72264;72264;0;
525583469;ll  Angel ll;RANK4;7667880;7662377;5503;3618;3618;0;
501016740;joaki;RANK4;944237540;944193827;43713;32988650;32988650;0;
500995004;Sackary;RANK5;2579753838;2578529949;1223889;7650948301;7650948301;0;
422159009;YOUR LOVER 0;RANK1;694096612;0;0;306609063;0;0;
