User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;1352;1346;6;;1;1099;209;35;2;;4;2;0;0;0;;0;0%;;0;0%;;2025/18/03 00:00:00;2025/24/03 06:00:00
750166637;Lic Nano;20;20;0;;0;13;7;0;0;;0;0;0;0;0;;34;97%;;0;0%;;2025/17/03 06:03:09;2025/22/03 17:10:13
1073272564;Chispa  2;19;14;5;;0;10;3;1;0;;4;1;0;0;0;;28;80%;;6;12%;;2025/17/03 06:07:12;2025/23/03 01:43:27
807219404;1Banco12;17;17;0;;0;17;0;0;0;;0;0;0;0;0;;17;49%;;0;0%;;2025/17/03 06:19:43;2025/21/03 09:05:22
273675488;McRafael27;2;2;0;;0;0;2;0;0;;0;0;0;0;0;;6;17%;;0;0%;;2025/17/03 06:42:50;2025/22/03 07:49:24
402579616;charl6;30;30;0;;0;30;0;0;0;;0;0;0;0;0;;30;86%;;0;0%;;2025/17/03 06:57:26;2025/21/03 11:16:10
555824258;1Alberto1;17;17;0;;0;16;1;0;0;;0;0;0;0;0;;19;54%;;0;0%;;2025/17/03 06:58:37;2025/21/03 09:38:02
621243466;XX ASMO XX;30;30;0;;0;30;0;0;0;;0;0;0;0;0;;30;86%;;0;0%;;2025/17/03 07:26:37;2025/22/03 15:17:40
692551270;DraKarys;29;29;0;;0;25;4;0;0;;0;0;0;0;0;;37;106%;;0;0%;;2025/17/03 07:38:32;2025/23/03 01:43:00
570889458;x Xerach x;44;44;0;;0;37;7;0;0;;0;0;0;0;0;;58;166%;;0;0%;;2025/17/03 08:26:17;2025/22/03 23:35:14
586909897;BLACK MAILER;17;17;0;;0;11;6;0;0;;0;0;0;0;0;;29;83%;;0;0%;;2025/17/03 09:17:17;2025/22/03 17:28:43
406973571;Ch4rly1;26;26;0;;0;22;4;0;0;;0;0;0;0;0;;34;97%;;0;0%;;2025/17/03 10:18:06;2025/21/03 12:37:44
555873651;xPanchOx;30;30;0;;0;24;1;5;0;;0;0;0;0;0;;72;206%;;0;0%;;2025/17/03 10:19:55;2025/23/03 00:04:04
323399530;XxASMODEUSxX;28;28;0;;0;22;6;0;0;;0;0;0;0;0;;40;114%;;0;0%;;2025/17/03 10:24:57;2025/22/03 03:34:27
373385266;Torres 77;51;50;1;;0;32;15;3;0;;0;1;0;0;0;;104;297%;;2;4%;;2025/17/03 10:51:20;2025/23/03 01:51:41
1913533885;Chispa Bank;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;17%;;0;0%;;2025/17/03 11:35:56;2025/23/03 02:12:39
920657971;Skylanderss;39;39;0;;0;39;0;0;0;;0;0;0;0;0;;39;111%;;0;0%;;2025/17/03 11:38:09;2025/23/03 00:43:57
629957087;IEvil QueenI;27;27;0;;0;27;0;0;0;;0;0;0;0;0;;27;77%;;0;0%;;2025/17/03 11:40:01;2025/21/03 13:45:17
1722344652;UnaCerverza;21;21;0;;0;21;0;0;0;;0;0;0;0;0;;21;60%;;0;0%;;2025/17/03 11:43:00;2025/23/03 01:15:51
569061426;XxASMODEUS3;40;40;0;;0;40;0;0;0;;0;0;0;0;0;;40;114%;;0;0%;;2025/17/03 11:47:38;2025/22/03 23:01:57
1251707248;Skylanderpty;40;40;0;;0;40;0;0;0;;0;0;0;0;0;;40;114%;;0;0%;;2025/17/03 11:48:04;2025/23/03 00:02:49
571683171;imperio 17;24;24;0;;0;24;0;0;0;;0;0;0;0;0;;24;69%;;0;0%;;2025/17/03 11:52:46;2025/22/03 22:49:34
538642328;Focusito;27;27;0;;0;23;3;1;0;;0;0;0;0;0;;41;117%;;0;0%;;2025/17/03 12:01:41;2025/23/03 00:17:39
511144164;Eternal01;32;32;0;;0;31;1;0;0;;0;0;0;0;0;;34;97%;;0;0%;;2025/17/03 12:12:02;2025/23/03 02:48:20
511304194;YunitoYan;30;30;0;;0;27;2;1;0;;0;0;0;0;0;;42;120%;;0;0%;;2025/17/03 12:21:52;2025/23/03 00:13:01
1667045430;PTYSKYLAND;19;19;0;;0;19;0;0;0;;0;0;0;0;0;;19;54%;;0;0%;;2025/17/03 12:31:51;2025/22/03 22:01:51
864001650;II H3RA II;14;14;0;;0;14;0;0;0;;0;0;0;0;0;;14;40%;;0;0%;;2025/17/03 12:52:17;2025/21/03 09:30:22
518377133;panta leon;21;21;0;;0;21;0;0;0;;0;0;0;0;0;;21;60%;;0;0%;;2025/17/03 13:13:30;2025/22/03 22:33:17
352319261;XEL VERGAX;46;46;0;;0;46;0;0;0;;0;0;0;0;0;;46;131%;;0;0%;;2025/17/03 13:36:48;2025/22/03 21:07:55
359404891;S3xy Psycho;12;12;0;;0;7;5;0;0;;0;0;0;0;0;;22;63%;;0;0%;;2025/17/03 14:18:59;2025/21/03 00:06:17
918188054;Bousquet78;30;30;0;;0;20;10;0;0;;0;0;0;0;0;;50;143%;;0;0%;;2025/17/03 14:23:52;2025/22/03 19:24:15
767595908;Queen Psycho;5;5;0;;0;0;4;1;0;;0;0;0;0;0;;21;60%;;0;0%;;2025/17/03 14:25:18;2025/21/03 03:53:18
731093892;L Sith;11;11;0;;0;5;2;4;0;;0;0;0;0;0;;47;134%;;0;0%;;2025/17/03 14:32:41;2025/21/03 13:49:29
613125683;Sugar CZ;21;21;0;;0;18;3;0;0;;0;0;0;0;0;;27;77%;;0;0%;;2025/17/03 14:39:37;2025/22/03 17:29:35
521634922;DIAZ C;34;34;0;;0;22;10;2;0;;0;0;0;0;0;;70;200%;;0;0%;;2025/17/03 15:14:42;2025/23/03 03:08:39
731058079;Jose du;6;6;0;;0;2;4;0;0;;0;0;0;0;0;;14;40%;;0;0%;;2025/17/03 16:09:08;2025/22/03 20:02:33
397534507;Javier 3;18;18;0;;0;5;13;0;0;;0;0;0;0;0;;44;126%;;0;0%;;2025/17/03 16:11:21;2025/23/03 02:30:36
553748914;ALPHA 316;28;28;0;;0;28;0;0;0;;0;0;0;0;0;;28;80%;;0;0%;;2025/17/03 16:28:36;2025/23/03 00:10:04
565902425;Javier  1;11;11;0;;0;1;10;0;0;;0;0;0;0;0;;31;89%;;0;0%;;2025/17/03 17:15:05;2025/22/03 16:27:04
500471817;ZerkexX;29;29;0;;0;21;8;0;0;;0;0;0;0;0;;45;129%;;0;0%;;2025/17/03 17:44:23;2025/23/03 02:07:20
570649745;ZerkexX7;21;21;0;;0;13;8;0;0;;0;0;0;0;0;;37;106%;;0;0%;;2025/17/03 18:01:15;2025/23/03 02:09:18
890671515;Perezocid;21;21;0;;0;9;9;3;0;;0;0;0;0;0;;63;180%;;0;0%;;2025/17/03 18:18:43;2025/23/03 00:54:20
1479927437;Nokia3310x;10;10;0;;0;9;1;0;0;;0;0;0;0;0;;12;34%;;0;0%;;2025/17/03 19:05:19;2025/20/03 23:28:15
697169313;Puriketsu Z;9;9;0;;0;5;4;0;0;;0;0;0;0;0;;17;49%;;0;0%;;2025/17/03 19:47:56;2025/22/03 14:21:34
683845328;llJaEgErll;17;17;0;;0;12;5;0;0;;0;0;0;0;0;;27;77%;;0;0%;;2025/17/03 20:16:47;2025/23/03 00:48:47
536897654;Javibank 2;6;6;0;;0;0;6;0;0;;0;0;0;0;0;;18;51%;;0;0%;;2025/17/03 21:26:06;2025/23/03 01:14:46
501160124;Pipirio yea;39;39;0;;0;37;2;0;0;;0;0;0;0;0;;43;123%;;0;0%;;2025/17/03 21:50:47;2025/22/03 03:28:43
806503386;C a kK o;7;7;0;;0;3;1;3;0;;0;0;0;0;0;;33;94%;;0;0%;;2025/18/03 00:08:02;2025/22/03 00:22:18
1743340992;WinterCom1ng;12;12;0;;0;12;0;0;0;;0;0;0;0;0;;12;34%;;0;0%;;2025/18/03 00:13:09;2025/22/03 21:41:36
865887249;MAKIINA GILL;43;43;0;;0;41;2;0;0;;0;0;0;0;0;;47;134%;;0;0%;;2025/18/03 02:07:49;2025/23/03 03:20:27
754036811;James77 7;5;5;0;;0;0;1;4;0;;0;0;0;0;0;;39;111%;;0;0%;;2025/18/03 02:09:53;2025/23/03 00:36:33
625690580;CHISPA N E;44;44;0;;0;44;0;0;0;;0;0;0;0;0;;44;126%;;0;0%;;2025/18/03 02:16:33;2025/23/03 01:32:39
825660065;IVAN COVK;2;2;0;;0;0;2;0;0;;0;0;0;0;0;;6;17%;;0;0%;;2025/18/03 03:52:19;2025/20/03 05:34:51
717827262;masmorisaki;17;17;0;;0;14;1;0;2;;0;0;0;0;0;;53;151%;;0;0%;;2025/18/03 04:05:41;2025/23/03 01:55:33
785757991;Jared pro;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;14%;;0;0%;;2025/18/03 04:07:14;2025/23/03 01:52:23
826925016;DANIEL 502;15;15;0;;0;13;2;0;0;;0;0;0;0;0;;19;54%;;0;0%;;2025/18/03 09:15:29;2025/23/03 03:03:05
1716936495;ven q te doy;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;17%;;0;0%;;2025/18/03 11:49:35;2025/22/03 03:54:36
