IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
2031082872;quilla 753;RANK1;434436;82632;351804;0;0;0;
1980521523;Jepas;RANK1;7319409;7319409;0;2328825;2328825;0;
1951180165;strong pie;RANK1;11925411;0;0;6289;0;0;
1951179113;succeed jam;RANK1;13058244;0;0;2275;0;0;
1951175898;twig care;RANK1;12846845;0;0;5170;0;0;
1951174422;tswrhtsr058;RANK1;12989597;0;0;739;0;0;
1951174320;gsrthrsd8099;RANK1;12845532;0;0;8312;0;0;
1951165399;drown buzz;RANK1;13203326;0;0;1868;0;0;
1951162540;cake cream;RANK1;14556102;0;0;2716;0;0;
1951152006;pull suggest;RANK1;12525102;0;0;3348;0;0;
1891995534;shah alt;RANK1;8158098;8112310;45788;6179;6179;0;
1884970798;SheikhMansur;RANK1;431879;432779;-900;151845;151845;0;
1876011044;moto1560;RANK1;5866344;0;0;672114;0;0;
1813428745;ronsasaki7;RANK1;3168024;3045619;122405;491;481;10;
1797386635;DDF ZG;RANK1;4565143;4565143;0;877993;877993;0;
1796244329;Nosumom;RANK1;1550712;1550712;0;192;192;0;
1789942673;Yoda 100;RANK1;303419767;295081472;8338295;1608113;1608113;0;
1777475051;fake shisui;RANK1;19915316;19915316;0;45736;45736;0;
1755933105;Iztli;RANK1;7793426;0;0;496461;0;0;
1684319739;seesooo;RANK1;96686150;98142794;-1456644;56574;55173;1401;
1650591693;kimkimu;RANK1;1462064;1462064;0;1624;1624;0;
1643237679;GTO456;RANK1;981297;981297;0;756;756;0;
1635348000;Rabbiittet;RANK1;748690;748690;0;5811;5811;0;
1631203612;Sidra 20;RANK1;206239374;0;0;10684290;0;0;
1617334092;Nousuu;RANK1;1024072;1024072;0;15406;15406;0;
1591429952;123456789BUA;RANK1;3600289;3600289;0;122712;122712;0;
1446855642;nosutarouu;RANK1;911772;911772;0;10642;10642;0;
1443210065;Nousu;RANK1;866874;866874;0;1201;1201;0;
1439879942;Nosudaccha;RANK1;904764;904764;0;8500;8500;0;
1436163665;Nosudaayo;RANK1;949937;949937;0;7189;7189;0;
1432551166;Stone henge6;RANK1;928530;928530;0;1071;1071;0;
1366245070;jawher 3;RANK1;155666194;0;0;140369144;0;0;
1348372520;NOSUSIRO;RANK1;463798;463798;0;695;695;0;
1336343078;NUTELLA  1;RANK1;178948773;0;0;1524009;0;0;
1300865960;sotiria kaz;RANK1;192183677;192183677;0;1268489;1268489;0;
1254877765;sulica89;RANK1;354345446;0;0;5769976;0;0;
1243841981;Eye Moon x;RANK1;417192828;417192828;0;180700815;180700815;0;
1236206995;serg2121;RANK1;528397;512894;15503;0;0;0;
1232922062;Lmymm902444;RANK1;373558075;372348044;1210031;3962766;3962766;0;
1095730293;XHaydenX;RANK1;42716513;0;0;3680291;0;0;
1068166006;tyoroneko;RANK1;51599717;51599717;0;400312;400312;0;
1041809475;noemi cmd;RANK1;112980022;113997738;-1017716;645932;624813;21119;
997124556;000xxc;RANK1;32079981;31896475;183506;3607658;3427936;179722;Beshoy1234
917550204;xKingOfWars;RANK1;678472247;678391771;80476;861514677;861493113;21564;
903242083;GHSt566;RANK1;2632606;2632606;0;2845;2845;0;
900744728;NoLuckForYou;RANK5;22269636;22269636;0;5727;5727;0;
900421560;ECLIPSE TSB;RANK1;93937686;93149665;788021;841114;841034;80;
890690208;MiniBadger;RANK1;22429507;22370140;59367;48223;48223;0;
884386827;Conan pts;RANK1;215496007;215496007;0;4467705;4467705;0;
883359108;Yamaharob300;RANK1;1996821831;0;0;265400513;0;0;
863585111;SKYNETT2;RANK1;154542308;0;0;1459802;0;0;
832462112;bogghii;RANK1;47546020;47546020;0;14240299;14240299;0;bohggii baby
820545603;kropek 16;RANK1;649772062;649737245;34817;10549475;10549475;0;
818160510;TinyBadger;RANK1;54563684;54563684;0;127581;127581;0;
812542865;XNightMareXx;RANK1;226266109;226266109;0;11777482;11777482;0;
786676569;Ana mejia;RANK1;186467662;185062025;1405637;1931013;1917457;13556;
782404335;DG084;RANK1;290466605;0;0;15650684;0;0;
779267131;ALMNTKEM;RANK1;886496330;886496330;0;74983787;74983787;0;
768819572;bilel t DZ 2;RANK1;475171595;475171595;0;6266929;6266929;0;
764904522;I am Crazzy2;RANK1;349843451;349843451;0;28841927;28841927;0;
760243900;killer 090;RANK1;848189845;848189845;0;147153703;147153499;204;
710785801;Mafra 01;RANK1;477026614;0;0;13538949;0;0;
704521802;wind9527;RANK1;480145931;480145931;0;271896422;271896422;0;
692551270;DraKarys;RANK1;455027886;454532886;495000;3982166;3982166;0;
660265201;ookingkhanoo;RANK1;666101099;665968599;132500;22330901;22330553;348;
652699588;maxxlk;RANK1;198759066;198759066;0;23727722;23727722;0;
648486636;Tough Ranger;RANK1;162881622;162653545;228077;1543690;1543674;16;
605307246;cukur111;RANK1;703955655;702321333;1634322;6028439;6028439;0;
600766017;Aboda 123;RANK1;794171692;0;0;72641704;0;0;
592233915;Onlyme68;RANK1;1225116416;0;0;58798200;0;0;
591433219;EVE  03;RANK1;125105355;125105355;0;849386;849386;0;
583825663;EVE 05;RANK1;113767225;113767225;0;73229;73229;0;
572401586;abod223;RANK1;366467584;366467584;0;26542115;26542115;0;
571300259;windua;RANK1;274203798;274203798;0;1594789;1594789;0;
562019921;JJLD;RANK1;783023320;834009245;-50985925;113480618;112515243;965375;
540450330;traucon1;RANK1;128794463;128416463;378000;12094873;12094873;0;
536055925;Radhykrishna;RANK1;394569926;0;0;3988612;0;0;
529284785;KAYIFOLOM;RANK1;1066755259;0;0;320313381;0;0;
529190270;BigBagOne;RANK1;736311079;723790574;12520505;57390571;57390571;0;
517488852;xXZORROxX1;RANK1;440742403;462357263;-21614860;23189373;22707491;481882;
514769721;BasmaUa;RANK1;679935292;679864127;71165;19340434;19340434;0;
501715866;smolk22;RANK1;152650858;152672584;-21726;1327705;1327705;0;
471341346;Francozera;RANK1;975433297;0;0;119555442;0;0;
406708560;Ahodunno;RANK1;465819371;465819371;0;12678228;12678228;0;
401295220;AlrightGEEZ;RANK1;1344965767;1344815767;150000;1228800975;1228800975;0;
372248613;Ace Hayking;RANK1;1522982;1522982;0;104680;104680;0;
353552947;khent;RANK1;387588736;0;0;10084831;0;0;
300387154;Matisas;RANK1;91132051;101311299;-10179248;5060195;5052931;7264;
