IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1849099415;fdsgh43y062;RANK1;48308936;46637764;1671172;376275;376260;15;
1849096468;fdsgh43y006;RANK1;43187633;43028180;159453;427863;427863;0;
1830674849;erh57f084;RANK1;48111893;46026541;2085352;317165;317163;2;
1830673412;erh57f052;RANK1;46802770;45178969;1623801;558619;558604;15;
1818904645;dg23dgs071;RANK1;60221496;58959858;1261638;92701;92701;0;
1818903520;ds3dddfz038;RANK1;56569147;54947118;1622029;99960;99955;5;
1818902868;t34fhg4r019;RANK1;55711620;53894831;1816789;118328;118326;2;
1818902348;rt5ghg001;RANK1;57837784;57268185;569599;215517;215512;5;
1815104923;eyuriee;RANK1;1381429;1381209;220;91382;91382;0;
1813428745;ronsasaki7;RANK1;2548876;2106258;442618;0;0;0;
1806262977;ewey031;RANK1;64792011;63510463;1281548;78062;78059;3;
1789942673;Yoda 100;RANK1;283830788;288678689;-4847901;1608113;1214816;393297;
1706508618;MaLeC Ja;RANK1;103914595;0;0;1465898;0;0;
1300865960;sotiria kaz;RANK1;194255839;0;0;1266784;0;0;
1282585070;Arab ej;RANK1;14269115;14269115;0;797566;797566;0;
1232922062;Lmymm902444;RANK1;371829405;370661209;1168196;3947884;3947884;0;
1076548225;p Diddy xxx;RANK1;90705667;90705667;0;13721646;13721646;0;
1068166006;tyoroneko;RANK1;51599717;51599717;0;400312;400312;0;
1051920755;zXBESHOYXz;RANK1;305296123;305296123;0;124277032;124277032;0;
903242083;GHSt566;RANK1;2595202;0;0;2845;0;0;
900744728;NoLuckForYou;RANK5;22269636;22269636;0;5727;5727;0;
890690208;MiniBadger;RANK1;21924887;21924887;0;48223;48223;0;
884386827;Conan pts;RANK1;219890079;0;0;4458891;0;0;
812542865;XNightMareXx;RANK1;226266109;226266109;0;11777482;11777482;0;
768819572;bilel t DZ 2;RANK1;475171595;475171595;0;6266929;6266893;36;
760243900;killer 090;RANK1;848189415;848189415;0;147152356;147152356;0;
704521802;wind9527;RANK1;480145931;0;0;271896422;0;0;
692551270;DraKarys;RANK1;453881538;453449538;432000;3982166;3982166;0;
652699588;maxxlk;RANK1;198759066;198759061;5;23727452;23727080;372;
648656018;ACL SAGA;RANK1;16153800;16153800;0;262503;262503;0;
636406221;adhy03;RANK1;312450740;312450740;0;4501924;4501924;0;
610669417;VO ALISTON k;RANK1;22185307;22185307;0;362180;362180;0;
608630883;dustbust;RANK1;212588153;212588153;0;6162642;6162642;0;
602898066;BBQ Xiao;RANK1;2195386442;0;0;54179436;0;0;
601754481;Appollo M;RANK1;455017873;0;0;1239178;0;0;
591078219;briana9972;RANK1;299157339;299157339;0;7069543;7069543;0;
583825663;EVE 05;RANK1;113767070;0;0;73227;0;0;
571300259;windua;RANK1;274190115;273112469;1077646;1594649;1594386;263;
562019921;JJLD;RANK1;810133113;834887662;-24754549;112515243;112009879;505364;
540450330;traucon1;RANK1;128416463;128416463;0;12094401;12094401;0;
529190270;BigBagOne;RANK1;709702164;709988007;-285843;57390571;57361210;29361;
501715866;smolk22;RANK1;163060081;163869227;-809146;1304691;1300310;4381;
465254370;NB UJB0LYG2R;RANK1;2025323858;0;0;349137255;0;0;
452029399;ERROR21;RANK1;96592572;96592572;0;19747901;19747901;0;
429195620;Ahodunno1;RANK1;306312694;306312694;0;3218101;3218101;0;
406708560;Ahodunno;RANK1;465819371;465819371;0;12678228;12678228;0;
372248613;Ace Hayking;RANK1;1522982;1522982;0;104680;104680;0;
