Name;Completed;Total;Score;Completed Bonus
Maradon4 xRN;9;9;3030;No
Malvada s;9;9;2130;No
Afrodita101;9;9;1822;No
SantiSO;9;9;1699;No
Saruman X;9;9;1554;No
exparta 300;9;9;1544;No
rufo 44;9;9;1486;No
Destructoski;9;9;1455;No
Intel i9;8;8;1442;No
Arnald;9;9;1438;No
AMATEUS;9;9;1422;No
Diosa gea 24;9;9;1418;No
Darcksider2;9;9;1413;No
3AXAP GALA;9;9;1411;No
vengador  12;9;9;1408;No
FIREROBERT72;9;9;1399;No
Chapolin xRn;9;9;1384;No
rey d Gondor;9;9;1377;No
CH1HUAHUA;9;9;1376;No
Robert 72;9;9;1376;No
sukis;9;9;1374;No
BOMBERO777;9;9;1371;No
Desquintador;9;9;1361;No
artemisa85;9;9;1359;No
3axap gala U;9;9;1359;No
radamanthizz;9;9;1358;No
Lagerthaa85;9;9;1354;No
Tex Hik ru;9;9;1353;No
Olgiz;9;9;1350;No
franco e isa;9;9;1348;No
LordTaz20;9;9;1347;No
borre1421;9;9;1347;No
Hades1234569;9;9;1338;No
Jordi  E N P;9;9;1337;No
cumbia 21;8;9;1329;No
Ryzen 9;8;8;1328;No
Orlando7807;9;9;1323;No
juanpablo3;9;9;1321;No
TexHik pyc;9;9;1256;No
rey Gondor;9;9;1252;No
FRAJOLA xR;8;9;1243;No
rhaenyra85;8;9;1241;No
davids28;8;8;1233;No
Lord Josed;7;7;1232;No
BMW033;8;8;1169;No
Orlando AG;7;8;1157;No
Nena94;8;9;1156;No
robert72 jr;7;9;1125;No
TroyMcClure7;8;9;1113;No
castiel thc;8;8;1066;No
Napoleon2018;7;9;1035;No
David 29;7;8;1030;No
Tourbulence;7;9;953;No
Davids34;6;7;901;No
Nemesis29;5;6;746;No
ZERO ONE RED;4;4;622;No
Jaime Duende;5;7;597;No
Davids33;3;4;451;No
Yna16;2;3;411;No
Eni 205;2;4;253;No
ADES444;0;0;0;No
Misssa;0;0;0;No
Boss X DJ;0;0;0;No
AutoBot80;0;0;0;No
babacikburda;0;0;0;No
Sr K15;0;2;0;No
GIVARA2;0;0;0;No
deadpol10;0;0;0;No
ADES333;0;0;0;No
ADES 888;0;0;0;No
Richard 6;0;0;0;No
