IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1953004725;exparta 300;RANK3;206707072;206662504;44568;1395846;1395846;0;
1869827776;BMW033;RANK1;138685445;138456048;229397;2480636;2480636;0;
1865655896;Arnald;RANK3;150814403;138950883;11863520;307171;307171;0;
1812242908;Davids34;RANK1;52037859;51487559;550300;1559197;1559197;0;
1715301671;ZERO ONE RED;RANK1;180606359;179769687;836672;3516812;3506608;10204;
1439804125;FRAJOLA xR;RANK2;74333634;74333634;0;101601;101601;0;
1298845930;Eni 205;RANK1;148370806;0;0;7835688;0;0;
1291517751;Tex Hik ru;RANK3;287566122;287606370;-40248;2986410;2986410;0;
1281971046;Boss X DJ;RANK1;267773590;0;0;7536557;0;0;
1263860712;BellMart45;RANK4;546361561;546346509;15052;23676948;23676948;0;
1259404288;cumbia 21;RANK1;317514590;317023193;491397;4209434;4209434;0;
1248533104;TroyMcClure7;RANK1;23799743;0;0;61302;0;0;
1218400831;sukis;RANK1;490288133;490211817;76316;15528109;15528029;80;
1204061986;rhaenyra85;RANK2;73461527;73461527;0;578527;578527;0;
1091346744;artemisa85;RANK2;250535803;250568127;-32324;2251499;2251369;130;
1059882725;Nena94;RANK1;219175536;219175536;0;4602697;4602697;0;
1052841957;Lagerthaa85;RANK2;452942354;453019358;-77004;5250881;5250881;0;
1047434554;Sr K15;RANK2;107986715;107960553;26162;3664134;3664134;0;
1037344998;Hades1234569;RANK3;1217294374;1205971435;11322939;9761026;9761026;0;
1036562095;Ryzen 9;RANK3;276208517;274353426;1855091;7084473;7084473;0;
1030714087;Maradon4 xRN;RANK2;420754732;408630842;12123890;44760;44760;0;
1025440513;pvto amateus;RANK1;420788937;420759417;29520;10159823;10159823;0;
1021109878;franco e isa;RANK3;758967064;758754988;212076;3043991;3043991;0;
1017960864;Darcksider2;RANK3;464242205;464242205;0;23300231;23300231;0;
1000860405;Chapolin xRn;RANK4;1783875984;1783295984;580000;176359620;176359620;0;
988897627;Afrodita101;RANK3;1653714763;1653610404;104359;9836512;9836512;0;
988653129;SantiSO;RANK4;618074836;617902623;172213;5221486;5221486;0;
988631428;Saruman X;RANK3;717020800;716295400;725400;13858108;13858108;0;
954413696;Napoleon2018;RANK3;788015280;787375184;640096;11076020;11076020;0;
950983102;Jordi  E N P;RANK1;416001126;416254926;-253800;39142240;39142240;0;
919014383;Nemesis29;RANK1;276339585;276339585;0;7599965;7599965;0;
896632660;Destructoski;RANK3;434676576;434672256;4320;7330408;7330408;0;
880503697;castiel thc;RANK2;675637283;675637283;0;7661883;7661883;0;
875686253;Yna16;RANK1;454133584;0;0;17410166;0;0;
862668268;Olgiz;RANK3;490406863;489228348;1178515;15165183;15165183;0;
838078071;TexHik pyc;RANK3;867246882;867243766;3116;9585373;9585373;0;
837112253;borre1421;RANK4;779440041;779440041;0;32341320;32341320;0;
836562718;rufo 44;RANK3;688770588;688037864;732724;36330617;36330617;0;
834188413;3AXAP GALA;RANK3;1007844850;1007195538;649312;6558219;6558219;0;
829438122;Intel i9;RANK3;460006572;459919115;87457;22777598;22777598;0;
829121660;Desquintador;RANK3;496258018;464996922;31261096;33394413;33394413;0;
813734403;3axap gala U;RANK3;910389794;910435442;-45648;8476739;8476739;0;
813359673;juanpablo3;RANK4;1092624843;663238693;429386150;73613373;73613373;0;
812510915;radamanthizz;RANK1;537271925;0;0;66988852;0;0;
812108151;LordTaz20;RANK1;170182878;170077416;105462;4455349;4455349;0;
805478451;AMATEUS;RANK4;1206641116;1206641095;21;269747196;269747196;0;
800319527;Lord Josed;RANK4;828777728;828742243;35485;26191454;26191454;0;
737959216;robert72 jr;RANK3;109381147;109195836;185311;1361969;1361969;0;
722457143;rey d Gondor;RANK4;894338734;894710038;-371304;185474284;185474284;0;
704183402;davids28;RANK1;333049801;333049801;0;1430294;1430294;0;
681546337;F41CON 55;RANK2;470269521;470269521;0;5261947;5261947;0;
613764743;David 29;RANK3;596107046;595779446;327600;41449497;41449497;0;
573617829;Davids33;RANK4;682436659;682154271;282388;91145607;91145606;1;
556909957;Robert 72;RANK3;909849592;909849592;0;114108283;114108283;0;
402214266;rey Gondor;RANK5;1122146476;1122493192;-346716;423045960;423045960;0;
347180916;Orlando AG;RANK3;776662635;776632510;30125;23668425;23668425;0;
250133078;FIREROBERT72;RANK4;1745308495;1745308495;0;1056329217;1056329217;0;
