IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1995083469;AutoBot80;RANK2;36246;36246;0;0;0;0;
1991436921;AntiBBMbuaya;RANK3;39786028;39229634;556394;3966934;3966934;0;
1987731417;BMW0333;RANK3;5226288;0;0;20756;0;0;
1953004725;exparta 300;RANK3;223419498;208553651;14865847;1824959;1824959;0;
1869827776;BMW033;RANK4;159614147;159130147;484000;2480636;2480636;0;
1865655896;Arnald;RANK3;146290422;142800678;3489744;417656;417656;0;
1812242908;Davids34;RANK2;53247184;53247184;0;1559197;1559197;0;
1715301671;ZERO ONE RED;RANK2;194728153;194649210;78943;3565838;3565838;0;
1439804125;FRAJOLA xR;RANK2;76177115;76177115;0;107640;107640;0;
1399644307;BMW03;RANK3;211090784;209810090;1280694;16830032;16830032;0;EsLAM x2
1354968546;Jaime Duende;RANK2;42621178;42621178;0;362402;362402;0;
1298845930;Eni 205;RANK2;129445545;151364685;-21919140;7905854;7835688;70166;
1291517751;Tex Hik ru;RANK3;289870188;289870188;0;2986410;2986410;0;
1281971046;Boss X DJ;RANK2;267583687;267583687;0;7729524;7729524;0;
1268837245;ADES333;RANK3;781276718;768414426;12862292;20498731;20498731;0;
1259404288;cumbia 21;RANK2;337151278;330017208;7134070;4209434;4209434;0;
1258492999;babacikburda;RANK2;57566538;57566538;0;1403814;1403814;0;
1248533104;TroyMcClure7;RANK2;24577513;24330411;247102;77390;77390;0;
1218400831;sukis;RANK2;498951354;498846354;105000;15529165;15529165;0;
1204061986;rhaenyra85;RANK2;78723536;78723536;0;578593;578593;0;
1091346744;artemisa85;RANK4;263478206;263478206;0;2251499;2251499;0;
1059882725;Nena94;RANK4;219286752;219286752;0;4602697;4602697;0;
1052841957;Lagerthaa85;RANK2;474647799;474736467;-88668;5250881;5250881;0;
1047434554;Sr K15;RANK2;73118227;73118227;0;3822485;3822485;0;
1037344998;Hades1234569;RANK4;1256726449;1256186449;540000;9761026;9761026;0;
1036562095;Ryzen 9;RANK3;273543727;280660235;-7116508;7154023;7154023;0;
1030714087;Maradon4 xRN;RANK2;447124171;447124171;0;44760;44760;0;
1021109878;franco e isa;RANK3;765886078;766766598;-880520;3052848;3052848;0;
1017960864;Darcksider2;RANK3;467082574;467082574;0;23300662;23300662;0;
1000860405;Chapolin xRn;RANK4;1821141379;1782748099;38393280;176380610;176380610;0;
988897627;Afrodita101;RANK3;1682532997;1681978419;554578;9836512;9836512;0;
988653129;SantiSO;RANK4;623031326;622918813;112513;5268294;5268190;104;
988631428;Saruman X;RANK4;752775213;752737761;37452;13887308;13887308;0;
954413696;Napoleon2018;RANK4;794290026;795408888;-1118862;11076020;11076020;0;
950983102;Jordi  E N P;RANK2;419958016;419958016;0;39142240;39142240;0;
919014383;Nemesis29;RANK2;280122932;280061132;61800;7599985;7599985;0;
896632660;Destructoski;RANK4;461697020;459065203;2631817;7330408;7330408;0;
886861087;ADES 888;RANK3;1049827080;1041926592;7900488;12001216;12001216;0;
880503697;castiel thc;RANK2;688462966;688462966;0;7661883;7661883;0;
875686253;Yna16;RANK2;468068976;465503376;2565600;17410166;17410166;0;
862668268;Olgiz;RANK3;510078118;510078118;0;15165183;15165183;0;
845155861;ADES444;RANK3;542853443;527830478;15022965;21280558;21280558;0;
843203063;Misssa;RANK3;322571422;322571422;0;6902894;6902894;0;
838078071;TexHik pyc;RANK3;851236256;836428306;14807950;9617894;9617894;0;
837112253;borre1421;RANK4;789813052;781507159;8305893;32341320;32341320;0;
836562718;rufo 44;RANK4;711470814;706899637;4571177;36330617;36330617;0;
834188413;3AXAP GALA;RANK3;1018674828;972704276;45970552;6567719;6567719;0;
829438122;Intel i9;RANK3;461253126;461143926;109200;22830294;22830294;0;
829121660;Desquintador;RANK3;500347645;500347645;0;33394413;33394413;0;
822362301;Tourbulence;RANK2;617147017;617042432;104585;14562277;14562277;0;
813734403;3axap gala U;RANK3;903114362;894760638;8353724;8476739;8476739;0;
813359673;juanpablo3;RANK4;1168605141;1168605141;0;73614353;73614353;0;
812510915;radamanthizz;RANK2;539992224;539992224;0;67011428;67011428;0;
812108151;LordTaz20;RANK2;176663388;177004065;-340677;4455349;4455349;0;
805478451;AMATEUS;RANK3;963196831;1134800692;-171603861;270772673;270772673;0;
800319527;Lord Josed;RANK4;833801379;845634287;-11832908;26359454;26359454;0;
737959216;robert72 jr;RANK3;109894900;109882900;12000;1361969;1361969;0;
722457143;rey d Gondor;RANK4;902281861;902281861;0;185474284;185474284;0;
704183402;davids28;RANK2;336342412;336342412;0;1430294;1430294;0;
638999778;GIVARA2;RANK3;141970724;141970724;0;1835199;1835199;0;
613764743;David 29;RANK3;602169401;602110260;59141;41449497;41449497;0;
609926462;Diosa gea 24;RANK2;396334180;396334180;0;40647229;40647229;0;
574580766;CH1HUAHUA;RANK2;225689718;225689718;0;30721459;30721459;0;
573617829;Davids33;RANK4;653441004;652063210;1377794;92498049;92498049;0;
570579322;BOMBERO777;RANK2;277859569;277859569;0;28963385;28963385;0;
556909957;Robert 72;RANK4;1016712111;1016657895;54216;114127326;114127326;0;
407478730;deadpol10;RANK2;618007588;618007588;0;166903394;166903394;0;
402214266;rey Gondor;RANK5;1154092069;1154092069;0;423385724;423385724;0;
393765136;Orlando7807;RANK2;479286180;479286180;0;10012949;10012949;0;
356296528;ZzehirR;RANK3;185268154;185163812;104342;20929834;20929834;0;
347180916;Orlando AG;RANK3;781682315;781146703;535612;23806788;23806788;0;
250133078;FIREROBERT72;RANK4;1760658843;1759037787;1621056;1056370449;1056370449;0;
